team_id,name,city,abbreviation,division,stadium,primary_color,secondary_color,owner_id
SAN,Royals,San Francisco,SAN,League East,Royals Stadium,#F26060,#60F2F2,
JAC,Spartans,Jacksonville,JAC,League East,Spartans Stadium,#608BF2,#F2C760,
IND,Rockets,Indianapolis,IND,League East,Rockets Stadium,#B5F260,#9D60F2,
HOU,Panthers,Houston,HOU,League East,Panthers Stadium,#F260E0,#60F273,
SAN1,Hornets,San Jose,SAN1,League East,Hornets Stadium,#60F2D9,#F26079,
SEA,Coyotes,Seattle,SEA,League East,Coyotes Stadium,#F2AF60,#60A3F2,
LAS,Rangers,Las Vegas,LAS,League East,Rangers Stadium,#8560F2,#CEF260,
LOU,Raiders,Louisville,LOU,League West,Raiders Stadium,#67F260,#EC60F2,
MEM,Dolphins,Memphis,MEM,League West,Dolphins Stadium,#F26091,#60F2C1,
PHO,Lions,Phoenix,PHO,League West,Lions Stadium,#60BBF2,#F29760,
DAL,Jets,Dallas,DAL,League West,Jets Stadium,#E6F260,#6C60F2,
BOS,Chiefs,Boston,BOS,League West,Chiefs Stadium,#D360F2,#7FF260,
NAS,Bulls,Nashville,NAS,League West,Bulls Stadium,#60F2A9,#F260A9,
AUS,Wolves,Austin,AUS,League West,Wolves Stadium,#F27E60,#60D4F2,
