team_id,name,city,abbreviation,division,stadium,primary_color,secondary_color,owner_id
HOU,Hornets,Houston,HOU,League East,Hornets Stadium,#F26060,#60F2F2,
DAL,Dragons,Dallas,DAL,League East,Dragons Stadium,#608BF2,#F2C760,
DEN,Coyotes,Denver,DEN,League East,Coyotes Stadium,#B5F260,#9D60F2,
LOS,Rangers,Los Angeles,LOS,League East,Rangers Stadium,#F260E0,#60F273,
NAS,Bulls,Nashville,NAS,League East,Bulls Stadium,#60F2D9,#F26079,
BOS,Thunder,Boston,BOS,League East,Thunder Stadium,#F2AF60,#60A3F2,
ALB,Cardinals,Albuquerque,ALB,League East,Cardinals Stadium,#8560F2,#CEF260,
ELP,Wolves,El Paso,ELP,League West,Wolves Stadium,#67F260,#EC60F2,
SAN,Spartans,San Diego,SAN,League West,Spartans Stadium,#F26091,#60F2C1,
SEA,Falcons,Seattle,SEA,League West,Falcons Stadium,#60BBF2,#F29760,
IND,Raiders,Indianapolis,IND,League West,Raiders Stadium,#E6F260,#6C60F2,
SAN1,Panthers,San Jose,SAN1,League West,Panthers Stadium,#D360F2,#7FF260,
CHA,Hawks,Charlotte,CHA,League West,Hawks Stadium,#60F2A9,#F260A9,
COL,Giants,Columbus,COL,League West,Giants Stadium,#F27E60,#60D4F2,
