team_id,name,city,abbreviation,division,stadium,primary_color,secondary_color,owner_id
ELP,Royals,El Paso,ELP,League East,Royals Stadium,#F26060,#60F2F2,
LAS,Rangers,Las Vegas,LAS,League East,Rangers Stadium,#608BF2,#F2C760,
ALB,Jets,Albuquerque,ALB,League East,Jets Stadium,#B5F260,#9D60F2,
MEM,Sharks,Memphis,MEM,League East,Sharks Stadium,#F260E0,#60F273,
WAS,Thunder,Washington,WAS,League East,Thunder Stadium,#60F2D9,#F26079,
COL,Falcons,Columbus,COL,League East,Falcons Stadium,#F2AF60,#60A3F2,
HOU,Chiefs,Houston,HOU,League East,Chiefs Stadium,#8560F2,#CEF260,
CHA,Wolves,Charlotte,CHA,League West,Wolves Stadium,#67F260,#EC60F2,
OKL,Lions,Oklahoma City,OKL,League West,Lions Stadium,#F26091,#60F2C1,
NEW,Hawks,New York,NEW,League West,Hawks Stadium,#60BBF2,#F29760,
LOU,Raiders,Louisville,LOU,League West,Raiders Stadium,#E6F260,#6C60F2,
LOS,Wildcats,Los Angeles,LOS,League West,Wildcats Stadium,#D360F2,#7FF260,
DEN,Hornets,Denver,DEN,League West,Hornets Stadium,#60F2A9,#F260A9,
SAN,Bulls,San Antonio,SAN,League West,Bulls Stadium,#F27E60,#60D4F2,
