team_id,name,city,abbreviation,division,stadium,primary_color,secondary_color,owner_id
ELP,Warriors,El Paso,ELP,League East,Warriors Stadium,#F26060,#60F2F2,
POR,Knights,Portland,POR,League East,Knights Stadium,#608BF2,#F2C760,
MEM,Rangers,Memphis,MEM,League East,Rangers Stadium,#B5F260,#9D60F2,
ALB,Jets,Albuquerque,ALB,League East,Jets Stadium,#F260E0,#60F273,
NAS,Lions,Nashville,NAS,League East,Lions Stadium,#60F2D9,#F26079,
BOS,Bulls,Boston,BOS,League East,Bulls Stadium,#F2AF60,#60A3F2,
AUS,Falcons,Austin,AUS,League East,Falcons Stadium,#8560F2,#CEF260,
SEA,Royals,Seattle,SEA,League West,Royals Stadium,#67F260,#EC60F2,
BAL,Chiefs,Baltimore,BAL,League West,Chiefs Stadium,#F26091,#60F2C1,
SAN,Chargers,San Diego,SAN,League West,Chargers Stadium,#60BBF2,#F29760,
LAS,Giants,Las Vegas,LAS,League West,Giants Stadium,#E6F260,#6C60F2,
FOR,Saints,Fort Worth,FOR,League West,Saints Stadium,#D360F2,#7FF260,
MIL,Eagles,Milwaukee,MIL,League West,Eagles Stadium,#60F2A9,#F260A9,
NEW,Panthers,New York,NEW,League West,Panthers Stadium,#F27E60,#60D4F2,
