round,overall_pick,team_id,player_id
1,1,LOU,D20280144
1,2,JAC,D20280115
1,3,NAS,D20280088
1,4,POR,D20280170
1,5,OKL,D20280112
1,6,SAN1,D20280002
1,7,MIL,D20280082
1,8,LOS,D20280152
1,9,DET,D20280063
1,10,SAN,D20280098
1,11,BAL,D20280020
1,12,NEW,D20280147
1,13,PHO,D20280125
1,14,SAN2,D20280132
2,15,LOU,D20280137
2,16,JAC,D20280122
2,17,NAS,D20280134
2,18,POR,D20280193
2,19,OKL,D20280180
2,20,SAN1,D20280065
2,21,MIL,D20280181
2,22,LOS,D20280016
2,23,DET,D20280128
2,24,SAN,D20280133
2,25,BAL,D20280101
2,26,NEW,D20280123
2,27,PHO,D20280025
2,28,SAN2,D20280007
3,29,LOU,D20280151
3,30,JAC,D20280148
3,31,NAS,D20280103
3,32,POR,D20280030
3,33,OKL,D20280092
3,34,SAN1,D20280096
3,35,MIL,D20280110
3,36,LOS,D20280019
3,37,DET,D20280154
3,38,SAN,D20280048
3,39,BAL,D20280060
3,40,NEW,D20280129
3,41,PHO,D20280032
3,42,SAN2,D20280085
4,43,LOU,D20280023
4,44,JAC,D20280039
4,45,NAS,D20280029
4,46,POR,D20280163
4,47,OKL,D20280036
4,48,SAN1,D20280162
4,49,MIL,D20280001
4,50,LOS,D20280100
4,51,DET,D20280066
4,52,SAN,D20280131
4,53,BAL,D20280094
4,54,NEW,D20280013
4,55,PHO,D20280087
4,56,SAN2,D20280194
5,57,LOU,D20280116
5,58,JAC,D20280046
5,59,NAS,D20280072
5,60,POR,D20280012
5,61,OKL,D20280017
5,62,SAN1,D20280055
5,63,MIL,D20280050
5,64,LOS,D20280164
5,65,DET,D20280111
5,66,SAN,D20280118
5,67,BAL,D20280006
5,68,NEW,D20280070
5,69,PHO,D20280124
5,70,SAN2,D20280067
6,71,LOU,D20280145
6,72,JAC,D20280109
6,73,NAS,D20280121
6,74,POR,D20280139
6,75,OKL,D20280173
6,76,SAN1,D20280004
6,77,MIL,D20280191
6,78,LOS,D20280022
6,79,DET,D20280074
6,80,SAN,D20280172
6,81,BAL,D20280190
6,82,NEW,D20280117
6,83,PHO,D20280174
6,84,SAN2,D20280003
7,85,LOU,D20280053
7,86,JAC,D20280105
7,87,NAS,D20280188
7,88,POR,D20280084
7,89,OKL,D20280086
7,90,SAN1,D20280179
7,91,MIL,D20280051
7,92,LOS,D20280153
7,93,DET,D20280033
7,94,SAN,D20280141
7,95,BAL,D20280091
7,96,NEW,D20280158
7,97,PHO,D20280035
7,98,SAN2,D20280143
8,99,LOU,D20280034
8,100,JAC,D20280161
8,101,NAS,D20280197
8,102,POR,D20280021
8,103,OKL,D20280149
8,104,SAN1,D20280182
8,105,MIL,D20280068
8,106,LOS,D20280011
8,107,DET,D20280106
8,108,SAN,D20280166
8,109,BAL,D20280080
8,110,NEW,D20280156
8,111,PHO,D20280052
8,112,SAN2,D20280120
9,113,LOU,D20280184
9,114,JAC,D20280089
9,115,NAS,D20280185
9,116,POR,D20280038
9,117,OKL,D20280192
9,118,SAN1,D20280049
9,119,MIL,D20280054
9,120,LOS,D20280056
9,121,DET,D20280069
9,122,SAN,D20280196
9,123,BAL,D20280071
9,124,NEW,D20280157
9,125,PHO,D20280177
9,126,SAN2,D20280061
10,127,LOU,D20280097
10,128,JAC,D20280114
10,129,NAS,D20280160
10,130,POR,D20280187
10,131,OKL,D20280200
10,132,SAN1,D20280005
10,133,MIL,D20280009
10,134,LOS,D20280010
10,135,DET,D20280028
10,136,SAN,D20280031
10,137,BAL,D20280058
10,138,NEW,D20280075
10,139,PHO,D20280081
10,140,SAN2,D20280108
