balls,strikes,objective,count
0,0,best,826
0,0,best_center,831
0,0,outside,4713
0,0,plus,9703
0,1,best,507
0,1,best_center,368
0,1,fast_center,1055
0,1,outside,4880
0,1,plus,732
0,2,best,421
0,2,best_center,123
0,2,outside,2374
0,2,plus,493
1,0,best,1405
1,0,fast_center,1366
1,0,outside,682
1,0,plus,2405
1,1,outside,2280
1,1,plus,3498
1,2,best,369
1,2,best_center,246
1,2,fast_center,140
1,2,outside,1839
1,2,plus,784
2,0,best,402
2,0,best_center,283
2,0,fast_center,409
2,0,outside,78
2,0,plus,503
2,1,best,580
2,1,best_center,532
2,1,fast_center,680
2,1,outside,132
2,1,plus,842
2,2,best,509
2,2,best_center,518
2,2,fast_center,666
2,2,outside,209
2,2,plus,765
3,0,best_center,103
3,0,fast_center,205
3,0,outside,85
3,0,plus,95
3,1,best,163
3,1,best_center,194
3,1,fast_center,271
3,1,outside,78
3,1,plus,133
3,2,best,138
3,2,best_center,183
3,2,fast_center,195
3,2,outside,102
3,2,plus,116
