balls,strikes,objective,count
0,0,best,37
0,0,best_center,54
0,0,outside,237
0,0,plus,463
0,1,best,22
0,1,best_center,26
0,1,fast_center,53
0,1,outside,244
0,1,plus,42
0,2,best,29
0,2,best_center,7
0,2,outside,115
0,2,plus,30
1,0,best,73
1,0,fast_center,50
1,0,outside,37
1,0,plus,104
1,1,outside,127
1,1,plus,150
1,2,best,17
1,2,best_center,9
1,2,fast_center,8
1,2,outside,71
1,2,plus,41
2,0,best,12
2,0,best_center,18
2,0,fast_center,19
2,0,outside,3
2,0,plus,28
2,1,best,29
2,1,best_center,27
2,1,fast_center,48
2,1,outside,6
2,1,plus,47
2,2,best,20
2,2,best_center,20
2,2,fast_center,31
2,2,outside,11
2,2,plus,47
3,0,best_center,4
3,0,fast_center,10
3,0,outside,3
3,0,plus,4
3,1,best,10
3,1,best_center,13
3,1,fast_center,12
3,1,outside,5
3,1,plus,3
3,2,best,2
3,2,best_center,10
3,2,fast_center,9
3,2,outside,5
3,2,plus,9
