balls,strikes,bucket,count,pct_total,pct_for_count
0,0,waste,237,0.09438470728793309,0.2996207332490518
0,0,zone,554,0.22062923138191956,0.7003792667509482
0,1,waste,244,0.09717244125846276,0.6304909560723514
0,1,zone,143,0.05694942254082039,0.3695090439276486
0,2,waste,115,0.04579848665870171,0.6353591160220995
0,2,zone,66,0.026284348864994027,0.36464088397790057
1,0,waste,37,0.014735165272799682,0.14015151515151514
1,0,zone,227,0.09040223018717643,0.8598484848484849
1,1,waste,127,0.050577459179609714,0.4584837545126354
1,1,zone,150,0.05973715651135006,0.5415162454873647
1,2,waste,71,0.028275587415372363,0.4863013698630137
1,2,zone,75,0.02986857825567503,0.5136986301369864
2,0,waste,3,0.0011947431302270011,0.0375
2,0,zone,77,0.030665073675826365,0.9625
2,1,waste,6,0.0023894862604540022,0.03821656050955414
2,1,zone,151,0.06013540422142573,0.9617834394904459
2,2,waste,11,0.004380724810832338,0.08527131782945736
2,2,zone,118,0.04699322978892871,0.9147286821705426
3,0,waste,3,0.0011947431302270011,0.14285714285714285
3,0,zone,18,0.007168458781362007,0.8571428571428571
3,1,waste,5,0.001991238550378335,0.11627906976744186
3,1,zone,38,0.015133412982875348,0.8837209302325582
3,2,waste,5,0.001991238550378335,0.14285714285714285
3,2,zone,30,0.011947431302270013,0.8571428571428571
