team_id,name,city,abbreviation,division,stadium,primary_color,secondary_color,owner_id
JAC,Hawks,Jacksonville,JAC,League East,Hawks Stadium,#F26060,#60F2F2,
BOS,Mariners,Boston,BOS,League East,Mariners Stadium,#608BF2,#F2C760,
SAN,Rockets,San Francisco,SAN,League East,Rockets Stadium,#B5F260,#9D60F2,
BAL,Falcons,Baltimore,BAL,League East,Falcons Stadium,#F260E0,#60F273,
FOR,Rangers,Fort Worth,FOR,League East,Rangers Stadium,#60F2D9,#F26079,
OKL,Jets,Oklahoma City,OKL,League East,Jets Stadium,#F2AF60,#60A3F2,
SAN1,Raiders,San Antonio,SAN1,League East,Raiders Stadium,#8560F2,#CEF260,
LOU,Chiefs,Louisville,LOU,League West,Chiefs Stadium,#67F260,#EC60F2,
COL,Saints,Columbus,COL,League West,Saints Stadium,#F26091,#60F2C1,
AUS,Warriors,Austin,AUS,League West,Warriors Stadium,#60BBF2,#F29760,
LOS,Knights,Los Angeles,LOS,League West,Knights Stadium,#E6F260,#6C60F2,
PHO,Giants,Phoenix,PHO,League West,Giants Stadium,#D360F2,#7FF260,
LAS,Kings,Las Vegas,LAS,League West,Kings Stadium,#60F2A9,#F260A9,
ALB,Dolphins,Albuquerque,ALB,League West,Dolphins Stadium,#F27E60,#60D4F2,
