balls,strikes,pitches_sim,swings_sim,takes_sim,contact,foul,ball_in_play_sim,hits_sim,ball_calls_sim,called_strike_calls_sim,walks_sim,strikeouts_sim,hbp_sim,zone_pitches_sim,swing_rate_sim,take_rate_sim,foul_rate_sim,contact_rate,swing_contact_rate,ball_rate_sim,called_strike_rate_sim,pitches_mlb,swings_mlb,takes_mlb,zone_pitches_mlb,outside_pitches,zone_swings,chase_swings,ball_calls_mlb,called_strike_calls_mlb,fouls,ball_in_play_mlb,hits_mlb,walks_mlb,strikeouts_mlb,hbp_mlb,take_rate_mlb,swing_rate_mlb,foul_rate_mlb,ball_rate_mlb,called_strike_rate_mlb,zone_rate,chase_rate,zone_swing_rate,take_rate_diff,swing_rate_diff,ball_rate_diff,called_strike_rate_diff
0,0,16325.0,5866.0,10459.0,3409.0,296.0,3113.0,1247.0,6038.0,4421.0,0.0,0.0,85.0,8859.0,0.3593261868300153,0.6406738131699847,0.0181316998468606,0.2088208269525268,0.581145584725537,0.3698621745788668,0.2708116385911179,183480,56951,126501,97667,85813,43409,13542,69972,56048,22656,19971,6780,0,0,481,0.6894538914323087,0.3103935033791148,0.1234793982995421,0.3813603662524525,0.3054719860475256,0.5323032483104425,0.1578082574901238,0.4444592339275293,-0.048780078262324,0.048932683450900516,-0.011498191673585734,-0.034660347456407725
0,1,7583.0,3634.0,3949.0,1866.0,176.0,1690.0,800.0,2069.0,1880.0,0.0,0.0,16.0,4801.0,0.4792298562574179,0.5207701437425821,0.0232098114202822,0.2460767506264011,0.5134837644468905,0.2728471581168403,0.2479229856257418,93113,45451,47646,41730,51383,31061,14390,37241,10125,17658,15985,5057,0,0,280,0.5117008366178729,0.4881273291591936,0.1896405442849011,0.39995489351648,0.108738844200058,0.448165132688239,0.2800537142634723,0.7443326144260723,0.009069307124709214,-0.008897472901775727,-0.1271077353996397,0.1391841414256838
0,2,4025.0,2635.0,1390.0,989.0,0.0,989.0,264.0,848.0,542.0,0.0,2608.0,4.0,2582.0,0.6546583850931676,0.3453416149068323,0.0,0.2457142857142857,0.3753320683111954,0.2106832298136646,0.1346583850931677,48820,25074,23736,15885,32935,13838,11236,21780,1739,9901,8587,2765,0,8887,217,0.4861941827120032,0.513600983203605,0.2028062269561655,0.4461286358049979,0.0356206472757066,0.3253789430561245,0.341156824047366,0.8711362920994649,-0.14085256780517091,0.14105740188956262,-0.2354454059913333,0.09903773781746109
1,0,5951.0,2811.0,3140.0,1498.0,124.0,1374.0,662.0,1557.0,1583.0,0.0,0.0,18.0,3886.0,0.4723575869601747,0.5276424130398253,0.0208368341455217,0.2517223995967064,0.5329064389896834,0.2616366997143337,0.2660057133254915,70246,29973,40271,38325,31921,22864,7109,23803,16322,11803,10940,3784,0,0,146,0.573285311619167,0.4266862170087976,0.1680238020670216,0.3388520342795319,0.2323548671810494,0.5455826666287048,0.2227060555747,0.5965818656229616,-0.04564289857934167,0.045671369951377105,-0.07721533456519825,0.03365084614444211
1,1,5264.0,2394.0,2870.0,1229.0,107.0,1122.0,546.0,1772.0,1098.0,0.0,0.0,33.0,3048.0,0.4547872340425531,0.5452127659574468,0.0203267477203647,0.2334726443768996,0.5133667502088555,0.3366261398176292,0.2085866261398176,72553,39359,33191,35542,37011,27624,11735,25077,7927,15395,14239,4706,0,0,187,0.4574724684024093,0.5424861825148513,0.2121897095916089,0.3456369826196022,0.1092580596253773,0.4898763662426088,0.3170678987328091,0.7772213156265826,0.08774029755503754,-0.08769894847229814,-0.009010842801973007,0.0993285665144403
1,2,3353.0,1896.0,1457.0,770.0,0.0,770.0,196.0,1014.0,443.0,0.0,1985.0,12.0,1948.0,0.5654637637936176,0.4345362362063823,0.0,0.2296450939457202,0.4061181434599156,0.3024157470921563,0.132120489114226,69663,40070,29590,26381,43281,23373,16697,26606,2683,15798,14364,4526,0,13471,301,0.4247591978525185,0.5751977376799736,0.2267774858963868,0.3819244075047012,0.0385139887745288,0.3786945724416117,0.3857812897114207,0.8859785451650809,0.009777038353863843,-0.009733973886355995,-0.0795086604125449,0.0936065003396972
2,0,1536.0,688.0,848.0,383.0,36.0,347.0,167.0,436.0,412.0,0.0,0.0,0.0,973.0,0.4479166666666667,0.5520833333333334,0.0234375,0.2493489583333333,0.5566860465116279,0.2838541666666667,0.2682291666666667,23764,10143,13621,13868,9896,8074,2069,7359,6216,4077,3965,1323,0,0,46,0.573177916175728,0.426822083824272,0.1715620265948493,0.3096700892105706,0.2615721259047298,0.5835717892610671,0.209074373484236,0.582203634265936,-0.021094582842394627,0.021094582842394682,-0.025815922543903913,0.006657040761936905
2,1,2551.0,924.0,1627.0,551.0,39.0,512.0,239.0,1091.0,536.0,0.0,0.0,8.0,1460.0,0.3622108976871815,0.6377891023128185,0.0152881223049784,0.2159937279498236,0.5963203463203464,0.4276754214033712,0.2101136809094472,37431,21554,15877,20734,16697,16121,5433,11026,4763,8644,8177,2685,0,0,88,0.4241671341935829,0.5758328658064171,0.2309315807752932,0.2945686730250327,0.1272474686756966,0.5539258903048275,0.3253877942145295,0.7775151924375422,0.21362196811923562,-0.21362196811923562,0.13310674837833852,0.0828662122337506
2,2,2376.0,1107.0,1269.0,510.0,0.0,510.0,132.0,954.0,315.0,0.0,1472.0,10.0,1422.0,0.4659090909090909,0.5340909090909091,0.0,0.2146464646464646,0.4607046070460704,0.4015151515151515,0.1325757575757575,59508,38103,21405,27356,32152,24428,13675,18350,2830,15668,14175,4608,1,11933,225,0.3596995361968139,0.6403004638031862,0.2632923304429656,0.3083619009208846,0.0475566310412045,0.459702897089467,0.4253234635481463,0.8929668080128674,0.17439137289409518,-0.1743913728940953,0.09315325059426688,0.08501912653455301
3,0,427.0,98.0,329.0,71.0,2.0,69.0,20.0,301.0,28.0,175.0,0.0,5.0,77.0,0.2295081967213114,0.7704918032786885,0.0046838407494145,0.1662763466042154,0.7244897959183674,0.7049180327868853,0.0655737704918032,7320,710,6610,4506,2814,608,102,2488,4119,317,290,105,2488,0,3,0.9030054644808744,0.0969945355191256,0.0433060109289617,0.3398907103825136,0.5627049180327869,0.6155737704918033,0.0362473347547974,0.1349312028406569,-0.13251366120218588,0.1325136612021858,0.36502732240437163,-0.4971311475409837
