team_id,name,city,abbreviation,division,stadium,primary_color,secondary_color,owner_id
PHO,Bears,Phoenix,PHO,League East,Bears Stadium,#F26060,#60F2F2,
POR,Rockets,Portland,POR,League East,Rockets Stadium,#608BF2,#F2C760,
ALB,Saints,Albuquerque,ALB,League East,Saints Stadium,#B5F260,#9D60F2,
IND,Falcons,Indianapolis,IND,League East,Falcons Stadium,#F260E0,#60F273,
CHA,Dolphins,Charlotte,CHA,League East,Dolphins Stadium,#60F2D9,#F26079,
COL,Pirates,Columbus,COL,League East,Pirates Stadium,#F2AF60,#60A3F2,
WAS,Giants,Washington,WAS,League East,Giants Stadium,#8560F2,#CEF260,
PHI,Tigers,Philadelphia,PHI,League West,Tigers Stadium,#67F260,#EC60F2,
LOS,Panthers,Los Angeles,LOS,League West,Panthers Stadium,#F26091,#60F2C1,
SEA,Chargers,Seattle,SEA,League West,Chargers Stadium,#60BBF2,#F29760,
CHI,Bulls,Chicago,CHI,League West,Bulls Stadium,#E6F260,#6C60F2,
DET,Dragons,Detroit,DET,League West,Dragons Stadium,#D360F2,#7FF260,
SAN,Spartans,San Francisco,SAN,League West,Spartans Stadium,#60F2A9,#F260A9,
NEW,Wolves,New York,NEW,League West,Wolves Stadium,#F27E60,#60D4F2,
