date,home,away,result,played,boxscore
2026-04-01,ALB,DET,5-9,1,
2026-04-01,CHA,SEA,1-4,1,
2026-04-01,CHI,IND,1-5,1,
2026-04-01,LOS,COL,9-5,1,
2026-04-01,PHO,NEW,6-2,1,
2026-04-01,SAN,POR,10-4,1,
2026-04-01,WAS,PHI,5-6,1,
2026-04-02,ALB,DET,1-3,1,
2026-04-02,CHA,SEA,1-6,1,
2026-04-02,CHI,IND,4-5,1,
2026-04-02,LOS,COL,3-8,1,
2026-04-02,PHO,NEW,9-5,1,
2026-04-02,SAN,POR,2-7,1,
2026-04-02,WAS,PHI,6-2,1,
2026-04-03,ALB,DET,3-2,1,
2026-04-03,CHA,SEA,0-3,1,
2026-04-03,CHI,IND,7-2,1,
2026-04-03,LOS,COL,8-2,1,
2026-04-03,PHO,NEW,3-7,1,
2026-04-03,SAN,POR,5-4,1,
2026-04-03,WAS,PHI,4-3,1,
2026-04-04,ALB,DET,6-5,1,
2026-04-04,CHA,SEA,7-6,1,
2026-04-04,CHI,IND,3-6,1,
2026-04-04,LOS,COL,2-3,1,
2026-04-04,PHO,NEW,5-3,1,
2026-04-04,SAN,POR,2-13,1,
2026-04-04,WAS,PHI,1-4,1,
2026-04-06,COL,WAS,4-8,1,
2026-04-06,DET,NEW,7-2,1,
2026-04-06,IND,LOS,6-5,1,
2026-04-06,PHI,CHA,6-9,1,
2026-04-06,PHO,SAN,4-12,1,
2026-04-06,POR,CHI,1-5,1,
2026-04-06,SEA,ALB,0-5,1,
2026-04-07,COL,WAS,2-1,1,
2026-04-07,DET,NEW,3-6,1,
2026-04-07,IND,LOS,2-8,1,
2026-04-07,PHI,CHA,3-2,1,
2026-04-07,PHO,SAN,2-4,1,
2026-04-07,POR,CHI,6-8,1,
2026-04-07,SEA,ALB,7-15,1,
2026-04-08,COL,WAS,4-5,1,
2026-04-08,DET,NEW,2-1,1,
2026-04-08,IND,LOS,2-3,1,
2026-04-08,PHI,CHA,2-3,1,
2026-04-08,PHO,SAN,6-4,1,
2026-04-08,POR,CHI,7-1,1,
2026-04-08,SEA,ALB,2-3,1,
2026-04-10,ALB,SEA,3-2,1,
2026-04-10,CHA,PHI,7-2,1,
2026-04-10,CHI,POR,2-6,1,
2026-04-10,LOS,IND,6-5,1,
2026-04-10,NEW,DET,2-9,1,
2026-04-10,SAN,PHO,7-5,1,
2026-04-10,WAS,COL,4-8,1,
2026-04-11,ALB,SEA,1-3,1,
2026-04-11,CHA,PHI,1-5,1,
2026-04-11,CHI,POR,6-7,1,
2026-04-11,LOS,IND,4-6,1,
2026-04-11,NEW,DET,4-2,1,
2026-04-11,SAN,PHO,8-4,1,
2026-04-11,WAS,COL,2-1,1,
2026-04-12,ALB,SEA,4-0,1,
2026-04-12,CHA,PHI,1-4,1,
2026-04-12,CHI,POR,5-0,1,
2026-04-12,LOS,IND,11-2,1,
2026-04-12,NEW,DET,3-5,1,
2026-04-12,SAN,PHO,4-2,1,
2026-04-12,WAS,COL,1-9,1,
2026-04-13,ALB,SEA,2-8,1,
2026-04-13,CHA,PHI,5-4,1,
2026-04-13,CHI,POR,2-6,1,
2026-04-13,LOS,IND,2-6,1,
2026-04-13,NEW,DET,4-3,1,
2026-04-13,SAN,PHO,3-2,1,
2026-04-13,WAS,COL,1-6,1,
2026-04-15,COL,CHA,2-1,1,
2026-04-15,DET,PHO,6-4,1,
2026-04-15,IND,WAS,13-14,1,
2026-04-15,PHI,ALB,2-0,1,
2026-04-15,POR,LOS,6-5,1,
2026-04-15,SAN,CHI,7-5,1,
2026-04-15,SEA,NEW,3-4,1,
2026-04-16,COL,CHA,6-9,1,
2026-04-16,DET,PHO,6-11,1,
2026-04-16,IND,WAS,2-0,1,
2026-04-16,PHI,ALB,5-2,1,
2026-04-16,POR,LOS,7-6,1,
2026-04-16,SAN,CHI,4-1,1,
2026-04-16,SEA,NEW,3-1,1,
2026-04-17,COL,CHA,3-6,1,
2026-04-17,DET,PHO,7-1,1,
2026-04-17,IND,WAS,1-3,1,
2026-04-17,PHI,ALB,2-4,1,
2026-04-17,POR,LOS,4-6,1,
2026-04-17,SAN,CHI,3-9,1,
2026-04-17,SEA,NEW,4-11,1,
2026-04-19,ALB,PHI,2-7,1,
2026-04-19,CHA,COL,7-4,1,
2026-04-19,CHI,SAN,3-2,1,
2026-04-19,LOS,POR,6-3,1,
2026-04-19,NEW,SEA,2-3,1,
2026-04-19,PHO,DET,7-2,1,
2026-04-19,WAS,IND,2-4,1,
2026-04-20,ALB,PHI,2-11,1,
2026-04-20,CHA,COL,5-4,1,
2026-04-20,CHI,SAN,4-2,1,
2026-04-20,LOS,POR,2-6,1,
2026-04-20,NEW,SEA,7-5,1,
2026-04-20,PHO,DET,4-1,1,
2026-04-20,WAS,IND,7-6,1,
2026-04-21,ALB,PHI,1-4,1,
2026-04-21,CHA,COL,3-6,1,
2026-04-21,CHI,SAN,10-2,1,
2026-04-21,LOS,POR,4-5,1,
2026-04-21,NEW,SEA,5-4,1,
2026-04-21,PHO,DET,3-2,1,
2026-04-21,WAS,IND,0-3,1,
2026-04-22,ALB,PHI,2-1,1,
2026-04-22,CHA,COL,7-6,1,
2026-04-22,CHI,SAN,0-8,1,
2026-04-22,LOS,POR,7-4,1,
2026-04-22,NEW,SEA,0-4,1,
2026-04-22,PHO,DET,2-10,1,
2026-04-22,WAS,IND,1-4,1,
2026-04-24,COL,ALB,4-2,1,
2026-04-24,IND,CHA,2-3,1,
2026-04-24,PHI,NEW,10-6,1,
2026-04-24,PHO,CHI,6-1,1,
2026-04-24,POR,WAS,1-5,1,
2026-04-24,SAN,LOS,7-3,1,
2026-04-24,SEA,DET,5-4,1,
2026-04-25,COL,ALB,2-1,1,
2026-04-25,IND,CHA,3-5,1,
2026-04-25,PHI,NEW,7-6,1,
2026-04-25,PHO,CHI,2-4,1,
2026-04-25,POR,WAS,3-5,1,
2026-04-25,SAN,LOS,5-2,1,
2026-04-25,SEA,DET,23-2,1,
2026-04-26,COL,ALB,6-1,1,
2026-04-26,IND,CHA,4-1,1,
2026-04-26,PHI,NEW,4-0,1,
2026-04-26,PHO,CHI,6-3,1,
2026-04-26,POR,WAS,7-6,1,
2026-04-26,SAN,LOS,8-5,1,
2026-04-26,SEA,DET,3-0,1,
2026-04-28,ALB,COL,5-4,1,
2026-04-28,CHA,IND,2-5,1,
2026-04-28,CHI,PHO,6-5,1,
2026-04-28,DET,SEA,5-10,1,
2026-04-28,LOS,SAN,8-0,1,
2026-04-28,NEW,PHI,2-5,1,
2026-04-28,WAS,POR,4-3,1,
2026-04-29,ALB,COL,6-5,1,
2026-04-29,CHA,IND,3-1,1,
2026-04-29,CHI,PHO,1-5,1,
2026-04-29,DET,SEA,2-6,1,
2026-04-29,LOS,SAN,6-5,1,
2026-04-29,NEW,PHI,4-5,1,
2026-04-29,WAS,POR,3-5,1,
2026-04-30,ALB,COL,3-5,1,
2026-04-30,CHA,IND,8-1,1,
2026-04-30,CHI,PHO,1-3,1,
2026-04-30,DET,SEA,3-2,1,
2026-04-30,LOS,SAN,6-5,1,
2026-04-30,NEW,PHI,5-2,1,
2026-04-30,WAS,POR,4-5,1,
2026-05-01,ALB,COL,6-4,1,
2026-05-01,CHA,IND,3-2,1,
2026-05-01,CHI,PHO,4-3,1,
2026-05-01,DET,SEA,11-4,1,
2026-05-01,LOS,SAN,4-7,1,
