balls,strikes,pitches,swings,takes,contact,foul,ball_in_play,hits,balls,called_strikes,walks,strikeouts,hbp,zone_pitches,swing_rate,take_rate,foul_rate,contact_rate,swing_contact_rate,ball_rate,called_strike_rate
0,0,19350.0,13843.0,5507.0,6574.0,246.0,6328.0,3052.0,4387.0,1120.0,0.0,0.0,0.0,5662.0,0.7154005167958656,0.28459948320413436,0.012713178294573644,0.33974160206718346,0.4748970598858629,0.22671834625322998,0.05788113695090439
0,1,8945.0,6377.0,2568.0,2987.0,110.0,2877.0,1378.0,2030.0,538.0,0.0,0.0,0.0,2636.0,0.7129122414756848,0.2870877585243153,0.012297372833985467,0.3339295695919508,0.4684020699388427,0.22694242593627725,0.06014533258803801
0,2,4144.0,3235.0,909.0,1240.0,0.0,1240.0,369.0,735.0,174.0,0.0,2390.0,0.0,1215.0,0.7806467181467182,0.21935328185328185,0.0,0.29922779922779924,0.38330757341576505,0.17736486486486486,0.04198841698841699
1,0,4387.0,3102.0,1285.0,1497.0,47.0,1450.0,740.0,1037.0,248.0,0.0,0.0,0.0,1257.0,0.707089126966036,0.29291087303396396,0.010713471620697515,0.34123546842945063,0.4825918762088975,0.23638021426943243,0.05653065876453157
1,1,4003.0,2903.0,1100.0,1417.0,55.0,1362.0,678.0,900.0,200.0,0.0,0.0,0.0,1116.0,0.7252060954284287,0.2747939045715713,0.013739695228578565,0.3539845116162878,0.48811574233551497,0.22483137646764925,0.04996252810392206
1,2,2531.0,1926.0,605.0,724.0,0.0,724.0,214.0,495.0,110.0,0.0,1442.0,0.0,726.0,0.7609640458316871,0.23903595416831291,0.0,0.2860529435005926,0.37590861889927313,0.19557487159225603,0.043461082576056895
2,0,1037.0,563.0,474.0,329.0,9.0,320.0,159.0,418.0,56.0,0.0,0.0,0.0,296.0,0.5429122468659595,0.4570877531340405,0.008678881388621022,0.3172613307618129,0.5843694493783304,0.4030858244937319,0.05400192864030858
2,1,1445.0,756.0,689.0,420.0,12.0,408.0,171.0,606.0,83.0,0.0,0.0,0.0,366.0,0.5231833910034602,0.47681660899653977,0.008304498269896194,0.2906574394463668,0.5555555555555556,0.41937716262975777,0.057439446366782006
2,2,1265.0,691.0,574.0,326.0,0.0,326.0,77.0,524.0,50.0,0.0,787.0,0.0,344.0,0.5462450592885375,0.45375494071146244,0.0,0.25770750988142294,0.4717800289435601,0.4142292490118577,0.039525691699604744
3,0,239.0,48.0,191.0,48.0,2.0,46.0,15.0,178.0,13.0,55.0,0.0,0.0,61.0,0.200836820083682,0.799163179916318,0.008368200836820083,0.200836820083682,1.0,0.7447698744769874,0.05439330543933055
3,1,508.0,100.0,408.0,92.0,8.0,84.0,22.0,384.0,24.0,129.0,0.0,0.0,124.0,0.1968503937007874,0.8031496062992126,0.015748031496062992,0.18110236220472442,0.92,0.7559055118110236,0.047244094488188976
3,2,627.0,149.0,478.0,126.0,0.0,126.0,21.0,455.0,23.0,150.0,446.0,0.0,172.0,0.23763955342902712,0.7623604465709729,0.0,0.20095693779904306,0.8456375838926175,0.7256778309409888,0.03668261562998405
