date,home,away,result,played,boxscore
2025-04-01,COL,IND,2-5,1,
2025-04-01,DEN,OKL,3-4,1,
2025-04-01,NEW,CHA,1-7,1,
2025-04-01,PHI,JAC,13-6,1,
2025-04-01,SAN,DAL,6-5,1,
2025-04-01,SAN1,POR,2-4,1,
2025-04-01,SEA,MEM,5-3,1,
2025-04-02,COL,IND,4-3,1,
2025-04-02,DEN,OKL,3-1,1,
2025-04-02,NEW,CHA,1-3,1,
2025-04-02,PHI,JAC,2-1,1,
2025-04-02,SAN,DAL,8-1,1,
2025-04-02,SAN1,POR,5-3,1,
2025-04-02,SEA,MEM,5-4,1,
2025-04-03,COL,IND,3-5,1,
2025-04-03,DEN,OKL,7-1,1,
2025-04-03,NEW,CHA,3-8,1,
2025-04-03,PHI,JAC,3-2,1,
2025-04-03,SAN,DAL,3-6,1,
2025-04-03,SAN1,POR,1-5,1,
2025-04-03,SEA,MEM,9-3,1,
2025-04-04,COL,IND,1-3,1,
2025-04-04,DEN,OKL,4-2,1,
2025-04-04,NEW,CHA,5-8,1,
2025-04-04,PHI,JAC,7-2,1,
2025-04-04,SAN,DAL,1-5,1,
2025-04-04,SAN1,POR,3-1,1,
2025-04-04,SEA,MEM,2-7,1,
2025-04-06,DAL,COL,1-9,1,
2025-04-06,IND,CHA,6-2,1,
2025-04-06,JAC,SEA,4-5,1,
2025-04-06,MEM,SAN1,2-4,1,
2025-04-06,NEW,PHI,0-5,1,
2025-04-06,OKL,SAN,2-1,1,
2025-04-06,POR,DEN,2-0,1,
2025-04-07,DAL,COL,5-2,1,
2025-04-07,IND,CHA,5-7,1,
2025-04-07,JAC,SEA,1-0,1,
2025-04-07,MEM,SAN1,6-3,1,
2025-04-07,NEW,PHI,7-4,1,
2025-04-07,OKL,SAN,3-5,1,
2025-04-07,POR,DEN,2-5,1,
2025-04-08,DAL,COL,7-0,1,
2025-04-08,IND,CHA,7-1,1,
2025-04-08,JAC,SEA,4-3,1,
2025-04-08,MEM,SAN1,6-5,1,
2025-04-08,NEW,PHI,4-2,1,
2025-04-08,OKL,SAN,4-8,1,
2025-04-08,POR,DEN,6-2,1,
2025-04-10,CHA,IND,3-1,1,
2025-04-10,COL,DAL,0-8,1,
2025-04-10,DEN,POR,1-7,1,
2025-04-10,PHI,NEW,9-1,1,
2025-04-10,SAN,OKL,2-1,1,
2025-04-10,SAN1,MEM,1-7,1,
2025-04-10,SEA,JAC,4-3,1,
2025-04-11,CHA,IND,3-2,1,
2025-04-11,COL,DAL,5-3,1,
2025-04-11,DEN,POR,1-5,1,
2025-04-11,PHI,NEW,6-3,1,
2025-04-11,SAN,OKL,2-1,1,
2025-04-11,SAN1,MEM,1-0,1,
2025-04-11,SEA,JAC,4-0,1,
2025-04-12,CHA,IND,9-7,1,
2025-04-12,COL,DAL,0-10,1,
2025-04-12,DEN,POR,0-3,1,
2025-04-12,PHI,NEW,7-1,1,
2025-04-12,SAN,OKL,2-1,1,
2025-04-12,SAN1,MEM,4-7,1,
2025-04-12,SEA,JAC,3-2,1,
2025-04-13,CHA,IND,1-2,1,
2025-04-13,COL,DAL,3-12,1,
