team_id,name,city,abbreviation,division,stadium,primary_color,secondary_color,owner_id
ALB,Hawks,Albuquerque,ALB,League East,Hawks Stadium,#F26060,#60F2F2,
SAN,Coyotes,San Diego,SAN,League East,Coyotes Stadium,#608BF2,#F2C760,
LAS,Rockets,Las Vegas,LAS,League East,Rockets Stadium,#B5F260,#9D60F2,
LOU,Rangers,Louisville,LOU,League East,Rangers Stadium,#F260E0,#60F273,
JAC,Warriors,Jacksonville,JAC,League East,Warriors Stadium,#60F2D9,#F26079,
HOU,Sharks,Houston,HOU,League East,Sharks Stadium,#F2AF60,#60A3F2,
AUS,Falcons,Austin,AUS,League East,Falcons Stadium,#8560F2,#CEF260,
PHO,Spartans,Phoenix,PHO,League West,Spartans Stadium,#67F260,#EC60F2,
MEM,Kings,Memphis,MEM,League West,Kings Stadium,#F26091,#60F2C1,
SAN1,Dragons,San Jose,SAN1,League West,Dragons Stadium,#60BBF2,#F29760,
WAS,Thunder,Washington,WAS,League West,Thunder Stadium,#E6F260,#6C60F2,
OKL,Dolphins,Oklahoma City,OKL,League West,Dolphins Stadium,#D360F2,#7FF260,
MIL,Bears,Milwaukee,MIL,League West,Bears Stadium,#60F2A9,#F260A9,
POR,Giants,Portland,POR,League West,Giants Stadium,#F27E60,#60D4F2,
