balls,strikes,objective,count
0,0,best,1920
0,0,best_center,1926
0,0,fast_center,1855
0,0,outside,3802
0,0,plus,9596
0,1,best,1053
0,1,best_center,501
0,1,fast_center,272
0,1,outside,3697
0,1,plus,1585
0,2,best,188
0,2,best_center,112
0,2,fast_center,64
0,2,outside,1028
0,2,plus,220
1,0,best,1292
1,0,best_center,810
1,0,fast_center,656
1,0,outside,1191
1,0,plus,2636
1,1,best,1256
1,1,best_center,961
1,1,fast_center,669
1,1,outside,1678
1,1,plus,1975
1,2,best,447
1,2,best_center,294
1,2,fast_center,151
1,2,outside,1472
1,2,plus,727
2,0,best,458
2,0,best_center,286
2,0,fast_center,318
2,0,outside,418
2,0,plus,735
2,1,best,680
2,1,best_center,514
2,1,fast_center,491
2,1,outside,602
2,1,plus,1061
2,2,best,562
2,2,best_center,392
2,2,fast_center,391
2,2,outside,505
2,2,plus,795
3,0,best,88
3,0,best_center,163
3,0,fast_center,205
3,0,outside,201
3,0,plus,150
3,1,best,301
3,1,best_center,279
3,1,fast_center,280
3,1,outside,298
3,1,plus,255
3,2,best,247
3,2,best_center,276
3,2,fast_center,266
3,2,outside,214
3,2,plus,168
