balls,strikes,objective,count
0,0,best,111
0,0,best_center,85
0,0,fast_center,115
0,0,outside,184
0,0,plus,497
0,1,best,51
0,1,best_center,32
0,1,fast_center,12
0,1,outside,179
0,1,plus,73
0,2,best,10
0,2,best_center,4
0,2,fast_center,2
0,2,outside,53
0,2,plus,13
1,0,best,65
1,0,best_center,41
1,0,fast_center,41
1,0,outside,63
1,0,plus,140
1,1,best,63
1,1,best_center,46
1,1,fast_center,34
1,1,outside,74
1,1,plus,83
1,2,best,18
1,2,best_center,18
1,2,fast_center,8
1,2,outside,73
1,2,plus,33
2,0,best,23
2,0,best_center,18
2,0,fast_center,29
2,0,outside,20
2,0,plus,33
2,1,best,40
2,1,best_center,32
2,1,fast_center,18
2,1,outside,27
2,1,plus,55
2,2,best,24
2,2,best_center,17
2,2,fast_center,25
2,2,outside,28
2,2,plus,34
3,0,best,1
3,0,best_center,12
3,0,fast_center,5
3,0,outside,8
3,0,plus,10
3,1,best,18
3,1,best_center,13
3,1,fast_center,13
3,1,outside,20
3,1,plus,10
3,2,best,17
3,2,best_center,12
3,2,fast_center,12
3,2,outside,14
3,2,plus,7
