balls,strikes,bucket,count,pct_total,pct_for_count
0,0,waste,3802,0.06834073301817267,0.19906801403214827
0,0,zone,15297,0.27496270199342115,0.8009319859678518
0,1,waste,3697,0.06645336401056927,0.5201181767023073
0,1,zone,3411,0.06131253033271619,0.47988182329769274
0,2,waste,1028,0.018478241331583774,0.6377171215880894
0,2,zone,584,0.01049736667086082,0.36228287841191065
1,0,waste,1191,0.021408157029101434,0.18086560364464693
1,0,zone,5394,0.09695684216202613,0.8191343963553531
1,1,waste,1678,0.0301619542357953,0.2566141611867258
1,1,zone,4861,0.08737619758057268,0.7433858388132742
1,2,waste,1472,0.026459115992306725,0.47622128760918797
1,2,zone,1619,0.029101432602951487,0.5237787123908121
2,0,waste,418,0.007513526144554491,0.1887133182844244
2,0,zone,1797,0.03230097244441249,0.8112866817155756
2,1,waste,602,0.010820915643592832,0.17980884109916367
2,1,zone,2746,0.04935919328456132,0.8201911589008363
2,2,waste,505,0.00907734617942588,0.19092627599243855
2,2,zone,2140,0.038466377869250265,0.8090737240075614
3,0,waste,201,0.003612963528840796,0.24907063197026022
3,0,zone,606,0.010892815415311057,0.7509293680297398
3,1,waste,298,0.005356532993007747,0.21089879688605803
3,1,zone,1115,0.02004206136645516,0.7891012031139419
3,2,waste,214,0.0038466377869250264,0.18274978650725876
3,2,zone,957,0.017202020383585283,0.8172502134927413
