game,team,side,inning,half,run_diff,pid,pitches,endurance,toast,budget_remaining,budget_pct,max_budget,home_team,away_team,home_score,away_score
2025-04-01,home,home,1,bottom,0,p-home-0,0,63,0.0,116.6,1.0,116.6,home,away,4,1
2025-04-01,home,home,1,bottom,0,p-home-0,8,63,3.0,108.6,0.9,116.6,home,away,4,1
2025-04-01,home,home,1,bottom,0,p-home-0,13,63,1.0,103.6,0.9,116.6,home,away,4,1
2025-04-01,home,home,1,bottom,0,p-home-0,21,63,-2.0,95.6,0.8,116.6,home,away,4,1
2025-04-01,home,home,1,bottom,0,p-home-0,26,63,-1.0,90.6,0.8,116.6,home,away,4,1
2025-04-01,away,away,1,top,0,p-away-0,0,80,0.0,148.0,1.0,148.0,home,away,4,1
2025-04-01,away,away,1,top,0,p-away-0,4,80,1.0,144.0,1.0,148.0,home,away,4,1
2025-04-01,away,away,1,top,0,p-away-0,8,80,2.0,140.0,0.9,148.0,home,away,4,1
2025-04-01,home,home,2,bottom,0,p-home-0,30,63,-3.0,86.6,0.7,116.6,home,away,4,1
2025-04-01,home,home,2,bottom,0,p-home-0,35,63,-6.0,81.6,0.7,116.6,home,away,4,1
2025-04-01,home,home,2,bottom,0,p-home-0,39,63,-9.0,77.6,0.7,116.6,home,away,4,1
2025-04-01,home,home,2,bottom,0,p-home-0,43,63,-8.0,73.6,0.6,116.6,home,away,4,1
2025-04-01,home,home,2,bottom,0,p-home-0,51,63,-5.0,65.6,0.6,116.6,home,away,4,1
2025-04-01,away,away,2,top,0,p-away-0,12,80,6.0,136.0,0.9,148.0,home,away,4,1
2025-04-01,away,away,2,top,0,p-away-0,19,80,9.0,129.0,0.9,148.0,home,away,4,1
2025-04-01,away,away,2,top,0,p-away-0,23,80,10.0,125.0,0.8,148.0,home,away,4,1
2025-04-01,home,home,3,bottom,0,p-home-0,56,63,-4.0,60.6,0.5,116.6,home,away,4,1
2025-04-01,home,home,3,bottom,0,p-home-0,64,63,-1.0,52.6,0.5,116.6,home,away,4,1
2025-04-01,away,away,3,top,0,p-away-0,27,80,14.0,121.0,0.8,148.0,home,away,4,1
2025-04-01,away,away,3,top,0,p-away-0,31,80,12.0,117.0,0.8,148.0,home,away,4,1
2025-04-01,away,away,3,top,0,p-away-0,38,80,9.0,110.0,0.7,148.0,home,away,4,1
2025-04-01,away,away,3,top,0,p-away-0,44,80,6.0,104.0,0.7,148.0,home,away,4,1
2025-04-01,away,away,3,top,0,p-away-0,49,80,6.0,99.0,0.7,148.0,home,away,4,1
2025-04-01,away,away,3,top,0,p-away-0,54,80,4.0,94.0,0.6,148.0,home,away,4,1
2025-04-01,away,away,3,top,0,p-away-0,60,80,7.0,88.0,0.6,148.0,home,away,4,1
2025-04-01,away,away,3,top,0,p-away-0,65,80,5.0,83.0,0.6,148.0,home,away,4,1
2025-04-01,away,away,4,top,-1,p-away-0,71,80,6.0,77.0,0.5,148.0,home,away,4,1
2025-04-01,away,away,4,top,-1,p-away-0,78,80,6.0,70.0,0.5,148.0,home,away,4,1
2025-04-02,home,home,1,bottom,0,p-home-1,0,62,0.0,114.7,1.0,114.7,home,away,6,8
2025-04-02,home,home,1,bottom,0,p-home-1,7,62,3.0,107.7,0.9,114.7,home,away,6,8
2025-04-02,home,home,1,bottom,0,p-home-1,16,62,2.0,98.7,0.9,114.7,home,away,6,8
2025-04-02,home,home,1,bottom,0,p-home-1,22,62,5.0,92.7,0.8,114.7,home,away,6,8
2025-04-02,home,home,1,bottom,0,p-home-1,27,62,5.0,87.7,0.8,114.7,home,away,6,8
2025-04-02,home,home,1,bottom,0,p-home-1,35,62,5.0,79.7,0.7,114.7,home,away,6,8
2025-04-02,away,away,1,top,0,p-away-1,0,99,0.0,183.2,1.0,183.2,home,away,6,8
2025-04-02,away,away,1,top,0,p-away-1,3,99,1.0,180.2,1.0,183.2,home,away,6,8
2025-04-02,away,away,1,top,0,p-away-1,8,99,2.0,175.2,1.0,183.2,home,away,6,8
2025-04-02,home,home,2,bottom,0,p-home-1,42,62,6.0,72.7,0.6,114.7,home,away,6,8
2025-04-02,home,home,2,bottom,0,p-home-1,50,62,5.0,64.7,0.6,114.7,home,away,6,8
2025-04-02,home,home,2,bottom,0,p-home-1,55,62,3.0,59.7,0.5,114.7,home,away,6,8
2025-04-02,home,home,2,bottom,0,p-home-1,59,62,4.0,55.7,0.5,114.7,home,away,6,8
2025-04-02,away,away,2,top,0,p-away-1,14,99,6.0,169.2,0.9,183.2,home,away,6,8
2025-04-02,away,away,2,top,0,p-away-1,19,99,6.0,164.2,0.9,183.2,home,away,6,8
2025-04-02,away,away,2,top,0,p-away-1,23,99,7.0,160.2,0.9,183.2,home,away,6,8
2025-04-02,away,away,2,top,0,p-away-1,26,99,8.0,157.2,0.9,183.2,home,away,6,8
2025-04-02,away,away,2,top,1,p-away-1,31,99,2.0,152.2,0.8,183.2,home,away,6,8
2025-04-02,home,home,3,bottom,-1,p-home-1,65,62,7.0,49.7,0.4,114.7,home,away,6,8
2025-04-02,away,away,3,top,1,p-away-1,38,99,5.0,145.2,0.8,183.2,home,away,6,8
2025-04-02,away,away,3,top,1,p-away-1,42,99,3.0,141.2,0.8,183.2,home,away,6,8
2025-04-02,away,away,3,top,1,p-away-1,48,99,0.0,135.2,0.7,183.2,home,away,6,8
2025-04-02,away,away,3,top,1,p-away-1,53,99,1.0,130.2,0.7,183.2,home,away,6,8
2025-04-02,away,away,3,top,1,p-away-1,60,99,0.0,123.2,0.7,183.2,home,away,6,8
2025-04-02,away,away,3,top,2,p-away-1,68,99,-5.0,115.2,0.6,183.2,home,away,6,8
2025-04-02,away,away,3,top,2,p-away-1,72,99,-4.0,111.2,0.6,183.2,home,away,6,8
2025-04-02,away,away,4,top,1,p-away-1,79,99,-1.0,104.2,0.6,183.2,home,away,6,8
2025-04-02,away,away,4,top,1,p-away-1,86,99,-2.0,97.2,0.5,183.2,home,away,6,8
2025-04-02,away,away,4,top,1,p-away-1,92,99,-1.0,91.2,0.5,183.2,home,away,6,8
2025-04-03,home,home,1,bottom,0,p-home-2,0,66,0.0,122.1,1.0,122.1,home,away,4,6
2025-04-03,home,home,1,bottom,0,p-home-2,3,66,1.0,119.1,1.0,122.1,home,away,4,6
2025-04-03,home,home,1,bottom,0,p-home-2,12,66,0.0,110.1,0.9,122.1,home,away,4,6
2025-04-03,home,home,1,bottom,0,p-home-2,17,66,1.0,105.1,0.9,122.1,home,away,4,6
2025-04-03,away,away,1,top,0,p-away-2,0,79,0.0,146.2,1.0,146.2,home,away,4,6
2025-04-03,away,away,1,top,0,p-away-2,5,79,1.0,141.2,1.0,146.2,home,away,4,6
2025-04-03,away,away,1,top,0,p-away-2,10,79,2.0,136.2,0.9,146.2,home,away,4,6
2025-04-03,away,away,1,top,0,p-away-2,14,79,0.0,132.2,0.9,146.2,home,away,4,6
2025-04-03,away,away,1,top,0,p-away-2,19,79,0.0,127.2,0.9,146.2,home,away,4,6
2025-04-03,home,home,2,bottom,0,p-home-2,22,66,2.0,100.1,0.8,122.1,home,away,4,6
2025-04-03,home,home,2,bottom,0,p-home-2,27,66,3.0,95.1,0.8,122.1,home,away,4,6
2025-04-03,home,home,2,bottom,0,p-home-2,31,66,4.0,91.1,0.7,122.1,home,away,4,6
2025-04-03,away,away,2,top,0,p-away-2,23,79,1.0,123.2,0.8,146.2,home,away,4,6
2025-04-03,away,away,2,top,0,p-away-2,28,79,2.0,118.2,0.8,146.2,home,away,4,6
2025-04-03,away,away,2,top,0,p-away-2,32,79,0.0,114.2,0.8,146.2,home,away,4,6
2025-04-03,away,away,2,top,0,p-away-2,36,79,0.0,110.2,0.8,146.2,home,away,4,6
2025-04-03,away,away,2,top,0,p-away-2,42,79,3.0,104.2,0.7,146.2,home,away,4,6
