date,home,away,result,played,boxscore
2025-04-01,BAL,JAC,0-5,1,
2025-04-01,CHI,NAS,6-1,1,
2025-04-01,IND,MIL,2-3,1,
2025-04-01,NEW,AUS,8-3,1,
2025-04-01,PHO,SEA,2-10,1,
2025-04-01,SAN,LOU,3-0,1,
2025-04-01,WAS,BOS,3-6,1,
2025-04-02,BAL,JAC,5-1,1,
2025-04-02,CHI,NAS,4-10,1,
2025-04-02,IND,MIL,0-5,1,
2025-04-02,NEW,AUS,3-11,1,
2025-04-02,PHO,SEA,7-2,1,
2025-04-02,SAN,LOU,1-4,1,
2025-04-02,WAS,BOS,4-6,1,
2025-04-03,BAL,JAC,5-2,1,
2025-04-03,CHI,NAS,1-5,1,
2025-04-03,IND,MIL,5-3,1,
2025-04-03,NEW,AUS,2-0,1,
2025-04-03,PHO,SEA,4-11,1,
2025-04-03,SAN,LOU,1-2,1,
2025-04-03,WAS,BOS,3-4,1,
2025-04-04,BAL,JAC,5-6,1,
2025-04-04,CHI,NAS,4-0,1,
2025-04-04,IND,MIL,5-6,1,
2025-04-04,NEW,AUS,4-0,1,
2025-04-04,PHO,SEA,8-9,1,
2025-04-04,SAN,LOU,5-7,1,
2025-04-04,WAS,BOS,10-2,1,
2025-04-06,AUS,WAS,2-3,1,
2025-04-06,BOS,SAN,1-5,1,
2025-04-06,IND,PHO,7-4,1,
2025-04-06,JAC,MIL,2-1,1,
2025-04-06,LOU,CHI,1-4,1,
2025-04-06,NAS,BAL,3-0,1,
2025-04-06,SEA,NEW,4-3,1,
2025-04-07,AUS,WAS,2-3,1,
2025-04-07,BOS,SAN,3-6,1,
2025-04-07,IND,PHO,5-0,1,
2025-04-07,JAC,MIL,3-2,1,
2025-04-07,LOU,CHI,1-2,1,
2025-04-07,NAS,BAL,3-11,1,
2025-04-07,SEA,NEW,3-4,1,
2025-04-08,AUS,WAS,1-9,1,
2025-04-08,BOS,SAN,1-3,1,
2025-04-08,IND,PHO,2-0,1,
2025-04-08,JAC,MIL,2-8,1,
2025-04-08,LOU,CHI,0-2,1,
2025-04-08,NAS,BAL,1-4,1,
2025-04-08,SEA,NEW,2-5,1,
2025-04-10,BAL,NAS,7-2,1,
2025-04-10,CHI,LOU,2-6,1,
2025-04-10,MIL,JAC,2-1,1,
2025-04-10,NEW,SEA,1-4,1,
2025-04-10,PHO,IND,7-8,1,
2025-04-10,SAN,BOS,2-3,1,
2025-04-10,WAS,AUS,0-4,1,
2025-04-11,BAL,NAS,4-1,1,
2025-04-11,CHI,LOU,5-7,1,
2025-04-11,MIL,JAC,1-2,1,
2025-04-11,NEW,SEA,2-6,1,
2025-04-11,PHO,IND,4-1,1,
2025-04-11,SAN,BOS,6-7,1,
2025-04-11,WAS,AUS,6-4,1,
2025-04-12,BAL,NAS,9-3,1,
2025-04-12,CHI,LOU,6-5,1,
2025-04-12,MIL,JAC,7-6,1,
2025-04-12,NEW,SEA,6-2,1,
2025-04-12,PHO,IND,0-3,1,
2025-04-12,SAN,BOS,4-3,1,
2025-04-12,WAS,AUS,6-5,1,
2025-04-13,BAL,NAS,3-0,1,
2025-04-13,CHI,LOU,5-4,1,
2025-04-13,MIL,JAC,1-8,1,
2025-04-13,NEW,SEA,5-1,1,
2025-04-13,PHO,IND,0-1,1,
2025-04-13,SAN,BOS,6-9,1,
2025-04-13,WAS,AUS,5-3,1,
2025-04-15,AUS,SAN,5-8,1,
2025-04-15,BOS,CHI,1-3,1,
2025-04-15,JAC,IND,3-2,1,
2025-04-15,LOU,BAL,1-5,1,
2025-04-15,NAS,MIL,4-6,1,
2025-04-15,PHO,NEW,2-6,1,
2025-04-15,SEA,WAS,5-12,1,
2025-04-16,AUS,SAN,10-0,1,
2025-04-16,BOS,CHI,3-5,1,
2025-04-16,JAC,IND,3-4,1,
2025-04-16,LOU,BAL,3-11,1,
2025-04-16,NAS,MIL,1-2,1,
2025-04-16,PHO,NEW,10-2,1,
2025-04-16,SEA,WAS,0-3,1,
2025-04-17,AUS,SAN,2-0,1,
2025-04-17,BOS,CHI,5-3,1,
2025-04-17,JAC,IND,2-5,1,
2025-04-17,LOU,BAL,3-4,1,
2025-04-17,NAS,MIL,2-5,1,
2025-04-17,PHO,NEW,1-3,1,
2025-04-17,SEA,WAS,1-5,1,
2025-04-19,BAL,LOU,5-11,1,
2025-04-19,CHI,BOS,3-6,1,
2025-04-19,IND,JAC,2-11,1,
2025-04-19,MIL,NAS,4-7,1,
2025-04-19,NEW,PHO,3-1,1,
2025-04-19,SAN,AUS,3-1,1,
2025-04-19,WAS,SEA,7-1,1,
2025-04-20,BAL,LOU,2-4,1,
2025-04-20,CHI,BOS,12-5,1,
2025-04-20,IND,JAC,2-4,1,
2025-04-20,MIL,NAS,4-2,1,
2025-04-20,NEW,PHO,1-2,1,
2025-04-20,SAN,AUS,3-6,1,
2025-04-20,WAS,SEA,4-1,1,
2025-04-21,BAL,LOU,0-4,1,
2025-04-21,CHI,BOS,2-3,1,
2025-04-21,IND,JAC,6-4,1,
2025-04-21,MIL,NAS,3-5,1,
2025-04-21,NEW,PHO,2-1,1,
2025-04-21,SAN,AUS,4-6,1,
2025-04-21,WAS,SEA,1-8,1,
2025-04-22,BAL,LOU,1-5,1,
2025-04-22,CHI,BOS,3-4,1,
2025-04-22,IND,JAC,5-4,1,
2025-04-22,MIL,NAS,9-4,1,
2025-04-22,NEW,PHO,3-0,1,
2025-04-22,SAN,AUS,4-6,1,
2025-04-22,WAS,SEA,6-9,1,
2025-04-24,AUS,CHI,7-2,1,
2025-04-24,BOS,BAL,3-4,1,
2025-04-24,IND,NEW,4-3,1,
2025-04-24,LOU,MIL,2-1,1,
2025-04-24,NAS,JAC,11-3,1,
2025-04-24,PHO,WAS,3-9,1,
2025-04-24,SEA,SAN,0-5,1,
2025-04-25,AUS,CHI,0-2,1,
2025-04-25,BOS,BAL,6-8,1,
2025-04-25,IND,NEW,5-4,1,
2025-04-25,LOU,MIL,5-3,1,
2025-04-25,NAS,JAC,3-0,1,
2025-04-25,PHO,WAS,8-5,1,
2025-04-25,SEA,SAN,3-6,1,
2025-04-26,AUS,CHI,6-5,1,
2025-04-26,BOS,BAL,3-4,1,
2025-04-26,IND,NEW,8-2,1,
2025-04-26,LOU,MIL,6-2,1,
2025-04-26,NAS,JAC,11-3,1,
2025-04-26,PHO,WAS,4-2,1,
2025-04-26,SEA,SAN,2-4,1,
2025-04-28,BAL,BOS,2-6,1,
2025-04-28,CHI,AUS,1-7,1,
2025-04-28,JAC,NAS,7-5,1,
2025-04-28,MIL,LOU,1-2,1,
2025-04-28,NEW,IND,1-3,1,
2025-04-28,SAN,SEA,3-6,1,
2025-04-28,WAS,PHO,5-4,1,
2025-04-29,BAL,BOS,0-1,1,
2025-04-29,CHI,AUS,6-5,1,
2025-04-29,JAC,NAS,5-3,1,
