team_id,name,city,abbreviation,division,stadium,primary_color,secondary_color,owner_id
IND,Chiefs,Indianapolis,IND,League East,Chiefs Stadium,#F26060,#60F2F2,
SEA,Hornets,Seattle,SEA,League East,Hornets Stadium,#608BF2,#F2C760,
BAL,Pirates,Baltimore,BAL,League East,Pirates Stadium,#B5F260,#9D60F2,
AUS,Dolphins,Austin,AUS,League East,Dolphins Stadium,#F260E0,#60F273,
CHI,Wildcats,Chicago,CHI,League East,Wildcats Stadium,#60F2D9,#F26079,
BOS,Bulls,Boston,BOS,League East,Bulls Stadium,#F2AF60,#60A3F2,
SAN,Sharks,San Diego,SAN,League East,Sharks Stadium,#8560F2,#CEF260,
LOU,Saints,Louisville,LOU,League West,Saints Stadium,#67F260,#EC60F2,
WAS,Panthers,Washington,WAS,League West,Panthers Stadium,#F26091,#60F2C1,
NAS,Raiders,Nashville,NAS,League West,Raiders Stadium,#60BBF2,#F29760,
NEW,Cardinals,New York,NEW,League West,Cardinals Stadium,#E6F260,#6C60F2,
JAC,Giants,Jacksonville,JAC,League West,Giants Stadium,#D360F2,#7FF260,
PHO,Royals,Phoenix,PHO,League West,Royals Stadium,#60F2A9,#F260A9,
MIL,Wolves,Milwaukee,MIL,League West,Wolves Stadium,#F27E60,#60D4F2,
