balls,strikes,bucket,count,pct_total,pct_for_count
0,0,waste,5466,0.09786403595151559,0.30087521329883854
0,0,zone,12701,0.22740049773512613,0.6991247867011614
0,1,waste,4172,0.07469607720265697,0.6263323825251463
0,1,zone,2489,0.04456340751615849,0.3736676174748536
0,2,waste,1846,0.033051044706640643,0.6893203883495146
0,2,zone,832,0.014896245501584516,0.3106796116504854
1,0,waste,2169,0.03883408232324136,0.2735527809307605
1,0,zone,5760,0.10312785347250819,0.7264472190692395
1,1,waste,2189,0.039192165147798684,0.4006955885044847
1,1,zone,3274,0.0586181583800333,0.5993044114955153
1,2,waste,1516,0.027142678101444863,0.5420092956739364
1,2,zone,1281,0.022935204912896353,0.45799070432606365
2,0,waste,730,0.013070023096342184,0.24488426702448843
2,0,zone,2251,0.04030222190392638,0.7551157329755116
2,1,waste,696,0.01246128229459474,0.23561272850372375
2,1,zone,2258,0.04042755089252144,0.7643872714962763
2,2,waste,478,0.008558179506919951,0.2371031746031746
2,2,zone,1538,0.027536569208457918,0.7628968253968254
3,0,waste,338,0.0060515997350187095,0.28499156829679595
3,0,zone,848,0.015182711761230372,0.715008431703204
3,1,waste,479,0.008576083648147817,0.27735958309206715
3,1,zone,1248,0.022344368252376776,0.7226404169079328
3,2,waste,309,0.005532379639410595,0.23879443585780524
3,2,zone,985,0.017635579109448015,0.7612055641421948
