balls,strikes,objective,count
0,0,best,92
0,0,best_center,90
0,0,fast_center,106
0,0,outside,201
0,0,plus,464
0,1,best,45
0,1,best_center,30
0,1,fast_center,13
0,1,outside,189
0,1,plus,66
0,2,best,16
0,2,best_center,4
0,2,fast_center,4
0,2,outside,42
0,2,plus,7
1,0,best,84
1,0,best_center,43
1,0,fast_center,33
1,0,outside,58
1,0,plus,119
1,1,best,67
1,1,best_center,49
1,1,fast_center,40
1,1,outside,93
1,1,plus,101
1,2,best,21
1,2,best_center,20
1,2,fast_center,4
1,2,outside,81
1,2,plus,28
2,0,best,18
2,0,best_center,11
2,0,fast_center,13
2,0,outside,22
2,0,plus,37
2,1,best,40
2,1,best_center,25
2,1,fast_center,34
2,1,outside,28
2,1,plus,50
2,2,best,27
2,2,best_center,21
2,2,fast_center,17
2,2,outside,29
2,2,plus,50
3,0,best,4
3,0,best_center,3
3,0,fast_center,11
3,0,outside,6
3,0,plus,16
3,1,best,17
3,1,best_center,12
3,1,fast_center,13
3,1,outside,17
3,1,plus,16
3,2,best,17
3,2,best_center,18
3,2,fast_center,12
3,2,outside,10
3,2,plus,12
