balls,strikes,bucket,count,pct_total,pct_for_count
0,0,waste,201,0.07137784090909091,0.21091290661070305
0,0,zone,752,0.26704545454545453,0.789087093389297
0,1,waste,189,0.06711647727272728,0.5510204081632653
0,1,zone,154,0.0546875,0.4489795918367347
0,2,waste,42,0.014914772727272728,0.5753424657534246
0,2,zone,31,0.011008522727272728,0.4246575342465753
1,0,waste,58,0.020596590909090908,0.17210682492581603
1,0,zone,279,0.09907670454545454,0.827893175074184
1,1,waste,93,0.033025568181818184,0.26571428571428574
1,1,zone,257,0.09126420454545454,0.7342857142857143
1,2,waste,81,0.028764204545454544,0.525974025974026
1,2,zone,73,0.025923295454545456,0.474025974025974
2,0,waste,22,0.0078125,0.21782178217821782
2,0,zone,79,0.028053977272727272,0.7821782178217822
2,1,waste,28,0.009943181818181818,0.15819209039548024
2,1,zone,149,0.052911931818181816,0.8418079096045198
2,2,waste,29,0.010298295454545454,0.2013888888888889
2,2,zone,115,0.040838068181818184,0.7986111111111112
3,0,waste,6,0.002130681818181818,0.15
3,0,zone,34,0.012073863636363636,0.85
3,1,waste,17,0.006036931818181818,0.22666666666666666
3,1,zone,58,0.020596590909090908,0.7733333333333333
3,2,waste,10,0.0035511363636363635,0.14492753623188406
3,2,zone,59,0.020951704545454544,0.855072463768116
