round,overall_pick,team_id,player_id
1,1,MIL,D20660199
1,2,DET,D20660094
1,3,LOS,D20660058
1,4,BOS,D20660115
1,5,JAC,D20660170
1,6,DEN,D20660178
1,7,NEW,D20660186
1,8,WAS,D20660146
1,9,SAN1,D20660057
1,10,LAS,D20660020
1,11,OKL,D20660156
1,12,NAS,D20660089
1,13,POR,D20660031
1,14,SAN,D20660110
2,15,MIL,D20660132
2,16,DET,D20660198
2,17,LOS,D20660078
2,18,BOS,D20660194
2,19,JAC,D20660130
2,20,DEN,D20660060
2,21,NEW,D20660002
2,22,WAS,D20660040
2,23,SAN1,D20660043
2,24,LAS,D20660071
2,25,OKL,D20660172
2,26,NAS,D20660200
2,27,POR,D20660035
2,28,SAN,D20660049
3,29,MIL,D20660097
3,30,DET,D20660048
3,31,LOS,D20660177
3,32,BOS,D20660032
3,33,JAC,D20660083
3,34,DEN,D20660191
3,35,NEW,D20660105
3,36,WAS,D20660182
3,37,SAN1,D20660025
3,38,LAS,D20660190
3,39,OKL,D20660161
3,40,NAS,D20660163
3,41,POR,D20660063
3,42,SAN,D20660166
4,43,MIL,D20660137
4,44,DET,D20660014
4,45,LOS,D20660106
4,46,BOS,D20660022
4,47,JAC,D20660005
4,48,DEN,D20660064
4,49,NEW,D20660008
4,50,WAS,D20660062
4,51,SAN1,D20660114
4,52,LAS,D20660138
4,53,OKL,D20660021
4,54,NAS,D20660096
4,55,POR,D20660052
4,56,SAN,D20660136
5,57,MIL,D20660175
5,58,DET,D20660082
5,59,LOS,D20660195
5,60,BOS,D20660011
5,61,JAC,D20660015
5,62,DEN,D20660120
5,63,NEW,D20660171
5,64,WAS,D20660192
5,65,SAN1,D20660103
5,66,LAS,D20660160
5,67,OKL,D20660122
5,68,NAS,D20660174
5,69,POR,D20660088
5,70,SAN,D20660075
6,71,MIL,D20660033
6,72,DET,D20660176
6,73,LOS,D20660153
6,74,BOS,D20660151
6,75,JAC,D20660145
6,76,DEN,D20660150
6,77,NEW,D20660074
6,78,WAS,D20660104
6,79,SAN1,D20660187
6,80,LAS,D20660030
6,81,OKL,D20660196
6,82,NAS,D20660181
6,83,POR,D20660129
6,84,SAN,D20660144
7,85,MIL,D20660006
7,86,DET,D20660007
7,87,LOS,D20660044
7,88,BOS,D20660135
7,89,JAC,D20660107
7,90,DEN,D20660024
7,91,NEW,D20660148
7,92,WAS,D20660159
7,93,SAN1,D20660113
7,94,LAS,D20660026
7,95,OKL,D20660012
7,96,NAS,D20660037
7,97,POR,D20660081
7,98,SAN,D20660045
8,99,MIL,D20660154
8,100,DET,D20660185
8,101,LOS,D20660053
8,102,BOS,D20660067
8,103,JAC,D20660076
8,104,DEN,D20660118
8,105,NEW,D20660139
8,106,WAS,D20660009
8,107,SAN1,D20660017
8,108,LAS,D20660018
8,109,OKL,D20660042
8,110,NAS,D20660056
8,111,POR,D20660061
8,112,SAN,D20660068
9,113,MIL,D20660084
9,114,DET,D20660087
9,115,LOS,D20660093
9,116,BOS,D20660100
9,117,JAC,D20660102
9,118,DEN,D20660116
9,119,NEW,D20660119
9,120,WAS,D20660128
9,121,SAN1,D20660131
9,122,LAS,D20660140
9,123,OKL,D20660164
9,124,NAS,D20660165
9,125,POR,D20660188
9,126,SAN,D20660013
10,127,MIL,D20660016
10,128,DET,D20660023
10,129,LOS,D20660054
10,130,BOS,D20660055
10,131,JAC,D20660066
10,132,DEN,D20660069
10,133,NEW,D20660077
10,134,WAS,D20660086
10,135,SAN1,D20660092
10,136,LAS,D20660099
10,137,OKL,D20660108
10,138,NAS,D20660112
10,139,POR,D20660117
10,140,SAN,D20660125
