team_id,name,city,abbreviation,division,stadium,primary_color,secondary_color,owner_id
POR,Dolphins,Portland,POR,League East,Dolphins Stadium,#F26060,#60F2F2,
JAC,Rangers,Jacksonville,JAC,League East,Rangers Stadium,#608BF2,#F2C760,
WAS,Dragons,Washington,WAS,League East,Dragons Stadium,#B5F260,#9D60F2,
LAS,Wolves,Las Vegas,LAS,League East,Wolves Stadium,#F260E0,#60F273,
NEW,Cardinals,New York,NEW,League East,Cardinals Stadium,#60F2D9,#F26079,
LOS,Spartans,Los Angeles,LOS,League East,Spartans Stadium,#F2AF60,#60A3F2,
NAS,Royals,Nashville,NAS,League East,Royals Stadium,#8560F2,#CEF260,
SAN,Thunder,San Antonio,SAN,League West,Thunder Stadium,#67F260,#EC60F2,
OKL,Knights,Oklahoma City,OKL,League West,Knights Stadium,#F26091,#60F2C1,
DEN,Panthers,Denver,DEN,League West,Panthers Stadium,#60BBF2,#F29760,
BOS,Pirates,Boston,BOS,League West,Pirates Stadium,#E6F260,#6C60F2,
DET,Hornets,Detroit,DET,League West,Hornets Stadium,#D360F2,#7FF260,
MIL,Bulls,Milwaukee,MIL,League West,Bulls Stadium,#60F2A9,#F260A9,
SAN1,Jets,San Diego,SAN1,League West,Jets Stadium,#F27E60,#60D4F2,
