team_id,name,city,abbreviation,division,stadium,primary_color,secondary_color,owner_id
NEW,Jets,New York,NEW,League East,Jets Stadium,#F26060,#60F2F2,
JAC,Knights,Jacksonville,JAC,League East,Knights Stadium,#608BF2,#F2C760,
COL,Falcons,Columbus,COL,League East,Falcons Stadium,#B5F260,#9D60F2,
MEM,Wildcats,Memphis,MEM,League East,Wildcats Stadium,#F260E0,#60F273,
SAN,Panthers,San Diego,SAN,League East,Panthers Stadium,#60F2D9,#F26079,
POR,Thunder,Portland,POR,League East,Thunder Stadium,#F2AF60,#60A3F2,
DEN,Lions,Denver,DEN,League East,Lions Stadium,#8560F2,#CEF260,
OKL,Coyotes,Oklahoma City,OKL,League West,Coyotes Stadium,#67F260,#EC60F2,
SAN1,Chargers,San Francisco,SAN1,League West,Chargers Stadium,#F26091,#60F2C1,
DAL,Hawks,Dallas,DAL,League West,Hawks Stadium,#60BBF2,#F29760,
SEA,Spartans,Seattle,SEA,League West,Spartans Stadium,#E6F260,#6C60F2,
IND,Saints,Indianapolis,IND,League West,Saints Stadium,#D360F2,#7FF260,
PHI,Rangers,Philadelphia,PHI,League West,Rangers Stadium,#60F2A9,#F260A9,
CHA,Pirates,Charlotte,CHA,League West,Pirates Stadium,#F27E60,#60D4F2,
