balls,strikes,objective,count
0,0,best,891
0,0,best_center,918
0,0,outside,5128
0,0,plus,10298
0,1,best,851
0,1,outside,5219
0,1,plus,2191
0,2,best,541
0,2,best_center,155
0,2,outside,2943
0,2,plus,608
1,0,best,1405
1,0,fast_center,907
1,0,outside,1090
1,0,plus,2715
1,1,outside,1703
1,1,plus,2635
1,2,best,264
1,2,best_center,204
1,2,fast_center,88
1,2,outside,1328
1,2,plus,572
2,0,best,573
2,0,best_center,371
2,0,fast_center,715
2,0,outside,548
2,0,plus,919
2,1,best,367
2,1,best_center,375
2,1,fast_center,529
2,1,outside,605
2,1,plus,851
2,2,best,262
2,2,best_center,239
2,2,fast_center,273
2,2,outside,408
2,2,plus,543
3,0,best_center,330
3,0,fast_center,655
3,0,outside,420
3,0,plus,322
3,1,best,268
3,1,best_center,395
3,1,fast_center,636
3,1,outside,428
3,1,plus,418
3,2,best,232
3,2,best_center,367
3,2,fast_center,418
3,2,outside,306
3,2,plus,201
