balls,strikes,bucket,count,pct_total,pct_for_count
0,0,waste,249,0.08998915793277919,0.29054842473745623
0,0,zone,608,0.2197325623418865,0.7094515752625438
0,1,waste,256,0.09251897361763643,0.6153846153846154
0,1,zone,160,0.057824358511022765,0.38461538461538464
0,2,waste,154,0.05565594506685941,0.7439613526570048
0,2,zone,53,0.01915431875677629,0.2560386473429952
1,0,waste,57,0.02059992771955186,0.1945392491467577
1,0,zone,236,0.08529092880375859,0.8054607508532423
1,1,waste,97,0.03505601734730755,0.4532710280373832
1,1,zone,117,0.0422840621611854,0.5467289719626168
1,2,waste,65,0.023491145645103,0.5327868852459017
1,2,zone,57,0.02059992771955186,0.4672131147540984
2,0,waste,35,0.01264907842428623,0.22151898734177214
2,0,zone,123,0.044452475605348755,0.7784810126582279
2,1,waste,35,0.01264907842428623,0.2413793103448276
2,1,zone,110,0.03975424647632815,0.7586206896551724
2,2,waste,18,0.006505240332490061,0.20224719101123595
2,2,zone,71,0.025659559089266353,0.797752808988764
3,0,waste,14,0.005059631369714492,0.1728395061728395
3,0,zone,67,0.024213950126490785,0.8271604938271605
3,1,waste,27,0.009757860498735092,0.2523364485981308
3,1,zone,80,0.028912179255511383,0.7476635514018691
3,2,waste,18,0.006505240332490061,0.23076923076923078
3,2,zone,60,0.02168413444163354,0.7692307692307693
