team_id,name,city,abbreviation,division,stadium,primary_color,secondary_color,owner_id
LOS,Hawks,Los Angeles,LOS,League East,Hawks Stadium,#F26060,#60F2F2,
WAS,Spartans,Washington,WAS,League East,Spartans Stadium,#608BF2,#F2C760,
HOU,Falcons,Houston,HOU,League East,Falcons Stadium,#B5F260,#9D60F2,
DAL,Wolves,Dallas,DAL,League East,Wolves Stadium,#F260E0,#60F273,
BOS,Kings,Boston,BOS,League East,Kings Stadium,#60F2D9,#F26079,
SAN,Tigers,San Diego,SAN,League East,Tigers Stadium,#F2AF60,#60A3F2,
NEW,Thunder,New York,NEW,League East,Thunder Stadium,#8560F2,#CEF260,
SAN1,Warriors,San Francisco,SAN1,League West,Warriors Stadium,#67F260,#EC60F2,
POR,Hornets,Portland,POR,League West,Hornets Stadium,#F26091,#60F2C1,
DEN,Raiders,Denver,DEN,League West,Raiders Stadium,#60BBF2,#F29760,
NAS,Rangers,Nashville,NAS,League West,Rangers Stadium,#E6F260,#6C60F2,
SEA,Bears,Seattle,SEA,League West,Bears Stadium,#D360F2,#7FF260,
MIL,Cardinals,Milwaukee,MIL,League West,Cardinals Stadium,#60F2A9,#F260A9,
COL,Rockets,Columbus,COL,League West,Rockets Stadium,#F27E60,#60D4F2,
