balls,strikes,bucket,count,pct_total,pct_for_count
0,0,waste,184,0.06534090909090909,0.18548387096774194
0,0,zone,808,0.2869318181818182,0.8145161290322581
0,1,waste,179,0.06356534090909091,0.515850144092219
0,1,zone,168,0.05965909090909091,0.484149855907781
0,2,waste,53,0.018821022727272728,0.6463414634146342
0,2,zone,29,0.010298295454545454,0.35365853658536583
1,0,waste,63,0.022372159090909092,0.18
1,0,zone,287,0.10191761363636363,0.82
1,1,waste,74,0.026278409090909092,0.24666666666666667
1,1,zone,226,0.08025568181818182,0.7533333333333333
1,2,waste,73,0.025923295454545456,0.4866666666666667
1,2,zone,77,0.02734375,0.5133333333333333
2,0,waste,20,0.007102272727272727,0.16260162601626016
2,0,zone,103,0.036576704545454544,0.8373983739837398
2,1,waste,27,0.009588068181818182,0.1569767441860465
2,1,zone,145,0.05149147727272727,0.8430232558139535
2,2,waste,28,0.009943181818181818,0.21875
2,2,zone,100,0.03551136363636364,0.78125
3,0,waste,8,0.002840909090909091,0.2222222222222222
3,0,zone,28,0.009943181818181818,0.7777777777777778
3,1,waste,20,0.007102272727272727,0.2702702702702703
3,1,zone,54,0.019176136363636364,0.7297297297297297
3,2,waste,14,0.004971590909090909,0.22580645161290322
3,2,zone,48,0.017045454545454544,0.7741935483870968
