balls,strikes,objective,count
0,0,best,86
0,0,best_center,76
0,0,fast_center,94
0,0,outside,188
0,0,plus,426
0,1,best,48
0,1,best_center,30
0,1,fast_center,11
0,1,outside,152
0,1,plus,73
0,2,best,13
0,2,best_center,3
0,2,fast_center,3
0,2,outside,50
0,2,plus,14
1,0,best,53
1,0,best_center,45
1,0,fast_center,33
1,0,outside,58
1,0,plus,120
1,1,best,52
1,1,best_center,42
1,1,fast_center,32
1,1,outside,65
1,1,plus,75
1,2,best,19
1,2,best_center,13
1,2,fast_center,5
1,2,outside,81
1,2,plus,37
2,0,best,17
2,0,best_center,15
2,0,fast_center,26
2,0,outside,22
2,0,plus,26
2,1,best,37
2,1,best_center,19
2,1,fast_center,14
2,1,outside,23
2,1,plus,47
2,2,best,26
2,2,best_center,16
2,2,fast_center,20
2,2,outside,17
2,2,plus,39
3,0,best,4
3,0,best_center,8
3,0,fast_center,8
3,0,outside,5
3,0,plus,8
3,1,best,9
3,1,best_center,7
3,1,fast_center,10
3,1,outside,13
3,1,plus,14
3,2,best,10
3,2,best_center,9
3,2,fast_center,7
3,2,outside,11
3,2,plus,3
