team_id,name,city,abbreviation,division,stadium,primary_color,secondary_color,owner_id
AUS,Coyotes,Austin,AUS,League East,Coyotes Stadium,#F26060,#60F2F2,
SEA,Thunder,Seattle,SEA,League East,Thunder Stadium,#608BF2,#F2C760,
PHO,Kings,Phoenix,PHO,League East,Kings Stadium,#B5F260,#9D60F2,
PHI,Giants,Philadelphia,PHI,League East,Giants Stadium,#F260E0,#60F273,
NAS,Sharks,Nashville,NAS,League East,Sharks Stadium,#60F2D9,#F26079,
DET,Rangers,Detroit,DET,League East,Rangers Stadium,#F2AF60,#60A3F2,
IND,Wolves,Indianapolis,IND,League East,Wolves Stadium,#8560F2,#CEF260,
ALB,Jets,Albuquerque,ALB,League West,Jets Stadium,#67F260,#EC60F2,
ELP,Bears,El Paso,ELP,League West,Bears Stadium,#F26091,#60F2C1,
LOU,Lions,Louisville,LOU,League West,Lions Stadium,#60BBF2,#F29760,
SAN,Dolphins,San Diego,SAN,League West,Dolphins Stadium,#E6F260,#6C60F2,
POR,Raiders,Portland,POR,League West,Raiders Stadium,#D360F2,#7FF260,
DAL,Cardinals,Dallas,DAL,League West,Cardinals Stadium,#60F2A9,#F260A9,
JAC,Bulls,Jacksonville,JAC,League West,Bulls Stadium,#F27E60,#60D4F2,
