team_id,name,city,abbreviation,division,stadium,primary_color,secondary_color,owner_id
JAC,Raiders,Jacksonville,JAC,League East,Raiders Stadium,#F26060,#60F2F2,
LOS,Rockets,Los Angeles,LOS,League East,Rockets Stadium,#608BF2,#F2C760,
NAS,Mariners,Nashville,NAS,League East,Mariners Stadium,#B5F260,#9D60F2,
DET,Chargers,Detroit,DET,League East,Chargers Stadium,#F260E0,#60F273,
IND,Eagles,Indianapolis,IND,League East,Eagles Stadium,#60F2D9,#F26079,
AUS,Saints,Austin,AUS,League East,Saints Stadium,#F2AF60,#60A3F2,
ELP,Pirates,El Paso,ELP,League East,Pirates Stadium,#8560F2,#CEF260,
SAN,Hawks,San Jose,SAN,League West,Hawks Stadium,#67F260,#EC60F2,
SEA,Wolves,Seattle,SEA,League West,Wolves Stadium,#F26091,#60F2C1,
ALB,Kings,Albuquerque,ALB,League West,Kings Stadium,#60BBF2,#F29760,
BAL,Wildcats,Baltimore,BAL,League West,Wildcats Stadium,#E6F260,#6C60F2,
LAS,Coyotes,Las Vegas,LAS,League West,Coyotes Stadium,#D360F2,#7FF260,
DAL,Chiefs,Dallas,DAL,League West,Chiefs Stadium,#60F2A9,#F260A9,
PHI,Panthers,Philadelphia,PHI,League West,Panthers Stadium,#F27E60,#60D4F2,
