player_id,name,w,l,era,g,gs,sv,ip,h,er,bb,so,whip
P5583,Darnell Allen,0,0,0,0,0,0,0,0,0,0,0,0
P8903,Sung Tran,0,0,0,0,0,0,0,0,0,0,0,0
P5715,Yong Wang,0,0,0,0,0,0,0,0,0,0,0,0
P2367,Sung Kim,0,0,0,0,0,0,0,0,0,0,0,0
P2677,Jamal Carter,0,0,0,0,0,0,0,0,0,0,0,0
P1814,Tyrone Gaines,0,0,0,0,0,0,0,0,0,0,0,0
P5620,Tyrone Green,0,0,0,0,0,0,0,0,0,0,0,0
P3873,Yong Lin,0,0,0,0,0,0,0,0,0,0,0,0
P4923,Jermaine Taylor,0,0,0,0,0,0,0,0,0,0,0,0
P6005,Rufus Mitchell,0,0,0,0,0,0,0,0,0,0,0,0
P6481,Percy Jefferson,0,0,0,0,0,0,0,0,0,0,0,0
