player_id,name,w,l,era,g,gs,sv,ip,h,er,bb,so,whip
P8587,Rashad Foos,0,0,1.11886586695747,108,31,0,305.6666666666667,184,38,19,216,0.6641221374045801
P4268,Roberto Morales,0,0,2.0,20,0,3,36.0,34,8,10,37,1.2222222222222223
P3124,Chung Benedict,0,0,1.32,41,17,5,75.0,56,11,33,67,1.1866666666666668
P9755,Otto Mclagan,0,0,1.0,11,0,2,18.0,7,2,11,18,1.0
P5334,Omar Surina,0,0,0,4,0,1,6.666666666666667,2,0,2,6,0.6
P2806,Pedro Diaz,0,0,0,0,0,0,0,0,0,0,0,0
P2227,Logan Sposito,0,0,0.8223350253807106,39,15,2,65.66666666666667,48,6,18,67,1.0050761421319796
P6477,Dwain Zoldesy,0,0,0,0,0,0,0,0,0,0,0,0
P1644,Rufus Taylor,0,0,0,0,0,0,0,0,0,0,0,0
P8464,Fernando Ortiz,0,0,0,0,0,0,0,0,0,0,0,0
P7787,Carlos Vargas,0,0,0,0,0,0,0,0,0,0,0,0
P7026,Carlos Rivera,0,0,2.393617021276596,61,12,3,94.0,74,25,30,57,1.1063829787234043
P9043,Reuben Wing,0,0,0,0,0,0,0,0,0,0,0,0
