balls,strikes,objective,count
0,0,best,1875
0,0,best_center,1845
0,0,fast_center,1924
0,0,outside,3781
0,0,plus,9308
0,1,best,993
0,1,best_center,500
0,1,fast_center,257
0,1,outside,3564
0,1,plus,1549
0,2,best,223
0,2,best_center,104
0,2,fast_center,58
0,2,outside,940
0,2,plus,204
1,0,best,1348
1,0,best_center,767
1,0,fast_center,667
1,0,outside,1189
1,0,plus,2645
1,1,best,1287
1,1,best_center,976
1,1,fast_center,635
1,1,outside,1583
1,1,plus,1970
1,2,best,418
1,2,best_center,259
1,2,fast_center,189
1,2,outside,1487
1,2,plus,703
2,0,best,451
2,0,best_center,284
2,0,fast_center,336
2,0,outside,435
2,0,plus,763
2,1,best,663
2,1,best_center,481
2,1,fast_center,483
2,1,outside,609
2,1,plus,1086
2,2,best,551
2,2,best_center,426
2,2,fast_center,384
2,2,outside,508
2,2,plus,808
3,0,best,78
3,0,best_center,171
3,0,fast_center,190
3,0,outside,184
3,0,plus,169
3,1,best,275
3,1,best_center,313
3,1,fast_center,277
3,1,outside,309
3,1,plus,268
3,2,best,230
3,2,best_center,322
3,2,fast_center,260
3,2,outside,237
3,2,plus,185
