balls,strikes,objective,count
0,0,best,41
0,0,best_center,35
0,0,outside,269
0,0,plus,543
0,1,best,30
0,1,outside,197
0,1,plus,92
0,2,best,19
0,2,best_center,8
0,2,outside,76
0,2,plus,18
1,0,best,73
1,0,fast_center,35
1,0,outside,108
1,0,plus,157
1,1,outside,100
1,1,plus,164
1,2,best,16
1,2,best_center,10
1,2,fast_center,4
1,2,outside,62
1,2,plus,37
2,0,best,13
2,0,best_center,15
2,0,fast_center,33
2,0,outside,39
2,0,plus,43
2,1,best,9
2,1,best_center,17
2,1,fast_center,34
2,1,outside,29
2,1,plus,59
2,2,best,13
2,2,best_center,18
2,2,fast_center,16
2,2,outside,29
2,2,plus,34
3,0,best_center,10
3,0,fast_center,17
3,0,outside,16
3,0,plus,8
3,1,best,8
3,1,best_center,12
3,1,fast_center,14
3,1,outside,23
3,1,plus,23
3,2,best,8
3,2,best_center,13
3,2,fast_center,20
3,2,outside,15
3,2,plus,14
