balls,strikes,objective,count
0,0,best,891
0,0,best_center,949
0,0,outside,5466
0,0,plus,10861
0,1,best,718
0,1,outside,4172
0,1,plus,1771
0,2,best,339
0,2,best_center,92
0,2,outside,1846
0,2,plus,401
1,0,best,1450
1,0,fast_center,808
1,0,outside,2169
1,0,plus,3502
1,1,outside,2189
1,1,plus,3274
1,2,best,301
1,2,best_center,196
1,2,fast_center,87
1,2,outside,1516
1,2,plus,697
2,0,best,417
2,0,best_center,266
2,0,fast_center,597
2,0,outside,730
2,0,plus,971
2,1,best,315
2,1,best_center,345
2,1,fast_center,537
2,1,outside,696
2,1,plus,1061
2,2,best,286
2,2,best_center,320
2,2,fast_center,307
2,2,outside,478
2,2,plus,625
3,0,best_center,220
3,0,fast_center,452
3,0,outside,338
3,0,plus,176
3,1,best,143
3,1,best_center,215
3,1,fast_center,472
3,1,outside,479
3,1,plus,418
3,2,best,167
3,2,best_center,262
3,2,fast_center,363
3,2,outside,309
3,2,plus,193
