team_id,name,city,abbreviation,division,stadium,primary_color,secondary_color,owner_id
CHI,Rockets,Chicago,CHI,League East,Rockets Stadium,#F26060,#60F2F2,
IND,Panthers,Indianapolis,IND,League East,Panthers Stadium,#608BF2,#F2C760,
CHA,Lions,Charlotte,CHA,League East,Lions Stadium,#B5F260,#9D60F2,
SAN,Raiders,San Diego,SAN,League East,Raiders Stadium,#F260E0,#60F273,
SAN1,Dragons,San Francisco,SAN1,League East,Dragons Stadium,#60F2D9,#F26079,
ALB,Wildcats,Albuquerque,ALB,League East,Wildcats Stadium,#F2AF60,#60A3F2,
MEM,Falcons,Memphis,MEM,League East,Falcons Stadium,#8560F2,#CEF260,
LOS,Bears,Los Angeles,LOS,League West,Bears Stadium,#67F260,#EC60F2,
AUS,Wolves,Austin,AUS,League West,Wolves Stadium,#F26091,#60F2C1,
NEW,Chargers,New York,NEW,League West,Chargers Stadium,#60BBF2,#F29760,
MIL,Eagles,Milwaukee,MIL,League West,Eagles Stadium,#E6F260,#6C60F2,
HOU,Saints,Houston,HOU,League West,Saints Stadium,#D360F2,#7FF260,
WAS,Royals,Washington,WAS,League West,Royals Stadium,#60F2A9,#F260A9,
LOU,Kings,Louisville,LOU,League West,Kings Stadium,#F27E60,#60D4F2,
