team_id,name,city,abbreviation,division,stadium,primary_color,secondary_color,owner_id
LOU,Bulls,Louisville,LOU,League East,Bulls Stadium,#F26060,#60F2F2,
ELP,Royals,El Paso,ELP,League East,Royals Stadium,#608BF2,#F2C760,
POR,Spartans,Portland,POR,League East,Spartans Stadium,#B5F260,#9D60F2,
SEA,Coyotes,Seattle,SEA,League East,Coyotes Stadium,#F260E0,#60F273,
PHI,Mariners,Philadelphia,PHI,League East,Mariners Stadium,#60F2D9,#F26079,
OKL,Giants,Oklahoma City,OKL,League East,Giants Stadium,#F2AF60,#60A3F2,
CHI,Wolves,Chicago,CHI,League East,Wolves Stadium,#8560F2,#CEF260,
SAN,Lions,San Diego,SAN,League West,Lions Stadium,#67F260,#EC60F2,
LAS,Bears,Las Vegas,LAS,League West,Bears Stadium,#F26091,#60F2C1,
SAN1,Knights,San Antonio,SAN1,League West,Knights Stadium,#60BBF2,#F29760,
MEM,Thunder,Memphis,MEM,League West,Thunder Stadium,#E6F260,#6C60F2,
ALB,Falcons,Albuquerque,ALB,League West,Falcons Stadium,#D360F2,#7FF260,
IND,Wildcats,Indianapolis,IND,League West,Wildcats Stadium,#60F2A9,#F260A9,
BAL,Kings,Baltimore,BAL,League West,Kings Stadium,#F27E60,#60D4F2,
