balls,strikes,objective,count
0,0,best,71
0,0,best_center,79
0,0,fast_center,92
0,0,outside,149
0,0,plus,400
0,1,best,35
0,1,best_center,31
0,1,fast_center,11
0,1,outside,182
0,1,plus,72
0,2,best,23
0,2,best_center,19
0,2,fast_center,5
0,2,outside,87
0,2,plus,20
1,0,best,42
1,0,best_center,17
1,0,fast_center,22
1,0,outside,46
1,0,plus,72
1,1,best,30
1,1,best_center,26
1,1,fast_center,21
1,1,outside,30
1,1,plus,55
1,2,best,12
1,2,best_center,12
1,2,fast_center,4
1,2,outside,56
1,2,plus,25
2,0,best,7
2,0,best_center,8
2,0,fast_center,4
2,0,outside,6
2,0,plus,20
2,1,best,11
2,1,best_center,9
2,1,fast_center,6
2,1,outside,14
2,1,plus,15
2,2,best,1
2,2,best_center,2
2,2,fast_center,4
2,2,outside,9
2,2,plus,21
3,0,best,1
3,0,best_center,2
3,0,fast_center,6
3,0,outside,3
3,0,plus,3
3,1,best,5
3,1,best_center,4
3,1,fast_center,4
3,1,outside,4
3,1,plus,8
3,2,best,4
3,2,best_center,8
3,2,fast_center,4
3,2,outside,2
3,2,plus,1
