team_id,name,city,abbreviation,division,stadium,primary_color,secondary_color,owner_id
SAN,Pirates,San Francisco,SAN,League East,Pirates Stadium,#F26060,#60F2F2,
SAN1,Cardinals,San Antonio,SAN1,League East,Cardinals Stadium,#608BF2,#F2C760,
POR,Hornets,Portland,POR,League East,Hornets Stadium,#B5F260,#9D60F2,
CHI,Chiefs,Chicago,CHI,League East,Chiefs Stadium,#F260E0,#60F273,
JAC,Dolphins,Jacksonville,JAC,League East,Dolphins Stadium,#60F2D9,#F26079,
CHA,Chargers,Charlotte,CHA,League East,Chargers Stadium,#F2AF60,#60A3F2,
COL,Thunder,Columbus,COL,League East,Thunder Stadium,#8560F2,#CEF260,
NAS,Wolves,Nashville,NAS,League West,Wolves Stadium,#67F260,#EC60F2,
SAN2,Coyotes,San Jose,SAN2,League West,Coyotes Stadium,#F26091,#60F2C1,
LAS,Bulls,Las Vegas,LAS,League West,Bulls Stadium,#60BBF2,#F29760,
ELP,Saints,El Paso,ELP,League West,Saints Stadium,#E6F260,#6C60F2,
WAS,Panthers,Washington,WAS,League West,Panthers Stadium,#D360F2,#7FF260,
BAL,Rangers,Baltimore,BAL,League West,Rangers Stadium,#60F2A9,#F260A9,
PHI,Sharks,Philadelphia,PHI,League West,Sharks Stadium,#F27E60,#60D4F2,
