balls,strikes,pitches,swings,takes,contact,foul,ball_in_play,hits,ball_calls,called_strike_calls,walks,strikeouts,hbp,zone_pitches,swing_rate,take_rate,foul_rate,contact_rate,swing_contact_rate,ball_rate,called_strike_rate
0,0,13854.0,4251.0,9603.0,3109.0,1038.0,1563.0,932.0,4520.0,1646.0,0.0,0.0,38.0,4466.0,0.3068427890861845,0.6931572109138155,0.07492420961455175,0.22441172224628267,0.7313573276876029,0.32625956402483036,0.11881045185505991
0,1,7200.0,1228.0,5972.0,1060.0,283.0,457.0,267.0,2892.0,581.0,0.0,0.0,37.0,1400.0,0.17055555555555554,0.8294444444444444,0.03930555555555556,0.14722222222222223,0.8631921824104235,0.40166666666666667,0.08069444444444444
0,2,3586.0,572.0,3014.0,440.0,0.0,58.0,39.0,1087.0,182.0,0.0,2425.0,16.0,588.0,0.15950920245398773,0.8404907975460123,0.0,0.12269938650306748,0.7692307692307693,0.3031232571109872,0.05075292805354155
1,0,4064.0,1240.0,2824.0,911.0,283.0,476.0,272.0,1529.0,472.0,0.0,0.0,12.0,1304.0,0.3051181102362205,0.6948818897637795,0.06963582677165354,0.22416338582677164,0.7346774193548387,0.3762303149606299,0.11614173228346457
1,1,4381.0,1289.0,3092.0,1020.0,314.0,494.0,303.0,1474.0,525.0,0.0,0.0,10.0,1386.0,0.2942250627710568,0.7057749372289431,0.07167313398767405,0.23282355626569276,0.791311093871218,0.33645286464277563,0.11983565396028303
1,2,3195.0,734.0,2461.0,476.0,0.0,102.0,64.0,942.0,255.0,0.0,2132.0,19.0,727.0,0.2297339593114241,0.7702660406885758,0.0,0.14898278560250391,0.6485013623978202,0.2948356807511737,0.07981220657276995
2,0,1529.0,259.0,1270.0,389.0,78.0,98.0,62.0,522.0,178.0,0.0,0.0,9.0,437.0,0.16939175931981687,0.8306082406801831,0.051013734466971876,0.2544146500981033,1.501930501930502,0.34139960758665794,0.11641595814257685
2,1,2368.0,440.0,1928.0,702.0,142.0,174.0,114.0,732.0,285.0,0.0,0.0,5.0,725.0,0.1858108108108108,0.8141891891891891,0.059966216216216214,0.2964527027027027,1.5954545454545455,0.3091216216216216,0.12035472972972973
2,2,2390.0,551.0,1839.0,748.0,0.0,66.0,50.0,520.0,312.0,0.0,1800.0,4.0,863.0,0.2305439330543933,0.7694560669456066,0.0,0.3129707112970711,1.3575317604355717,0.2175732217573222,0.1305439330543933
3,0,488.0,174.0,314.0,145.0,27.0,70.0,45.0,107.0,66.0,107.0,0.0,1.0,174.0,0.35655737704918034,0.6434426229508197,0.055327868852459015,0.29713114754098363,0.8333333333333334,0.2192622950819672,0.13524590163934427
3,1,959.0,382.0,577.0,277.0,61.0,141.0,96.0,212.0,118.0,212.0,0.0,0.0,275.0,0.3983315954118874,0.6016684045881127,0.06360792492179354,0.28884254431699685,0.725130890052356,0.2210636079249218,0.12304483837330553
3,2,1032.0,462.0,570.0,270.0,0.0,73.0,59.0,187.0,129.0,187.0,770.0,2.0,373.0,0.4476744186046512,0.5523255813953488,0.0,0.2616279069767442,0.5844155844155844,0.1812015503875969,0.125
