team_id,name,city,abbreviation,division,stadium,primary_color,secondary_color,owner_id
BAL,Giants,Baltimore,BAL,League East,Giants Stadium,#F26060,#60F2F2,
SAN,Raiders,San Antonio,SAN,League East,Raiders Stadium,#608BF2,#F2C760,
NAS,Eagles,Nashville,NAS,League East,Eagles Stadium,#B5F260,#9D60F2,
POR,Hawks,Portland,POR,League East,Hawks Stadium,#F260E0,#60F273,
NEW,Jets,New York,NEW,League East,Jets Stadium,#60F2D9,#F26079,
JAC,Coyotes,Jacksonville,JAC,League East,Coyotes Stadium,#F2AF60,#60A3F2,
LOU,Kings,Louisville,LOU,League East,Kings Stadium,#8560F2,#CEF260,
SAN1,Bears,San Jose,SAN1,League West,Bears Stadium,#67F260,#EC60F2,
DET,Hornets,Detroit,DET,League West,Hornets Stadium,#F26091,#60F2C1,
SAN2,Falcons,San Francisco,SAN2,League West,Falcons Stadium,#60BBF2,#F29760,
PHO,Mariners,Phoenix,PHO,League West,Mariners Stadium,#E6F260,#6C60F2,
OKL,Panthers,Oklahoma City,OKL,League West,Panthers Stadium,#D360F2,#7FF260,
MIL,Knights,Milwaukee,MIL,League West,Knights Stadium,#60F2A9,#F260A9,
LOS,Royals,Los Angeles,LOS,League West,Royals Stadium,#F27E60,#60D4F2,
